corp,year,operating_income,revenue,net_income,outstanding_shares,total_liabilities,total_assets,cash_flow_per_share,sales_per_share,current_assets,current_liabilities,inventory,net_working_capital,non_current_assets,non_current_liabilities
TYM,2019,13702069676.0,617355468463.0,5224426435.0,252009220,481506603760.0,628615584124.0,64.58059321004208,2449.7336584074187,394280837478.0,394060755672.0,195317314573.0,220081806.0,234334746646.0,87445848088.0
TYM,2020,29086927861.0,713300783396.0,6416878425.0,269908980,486125601885.0,656859440050.0,206.1318990757551,2642.7456522417297,406652440244.0,386311967033.0,178200465714.0,20340473211.0,250206999806.0,99813634852.0
TYM,2021,35264240176.0,841455916467.0,39502410981.0,303059144,458227292748.0,707428247565.0,120.61256982894402,2776.5402665659217,410107503614.0,380950566444.0,253099803166.0,29156937170.0,297320743951.0,77276726304.0
TYM,2022,122015643800.0,1166138766862.0,98186110279.0,304707494,447666197323.0,782128426554.0,67.84928973883393,3827.0760969928756,473214647112.0,400434021651.0,287945335538.0,72780625461.0,308913779442.0,47232175672.0
WISCOM,2018,-344657584.0,111921029158.0,1050474329.0,30051840,10633343690.0,127792594630.0,121.20508950533478,3724.265441250852,75914968906.0,8197136399.0,7140968852.0,67717832507.0,51877625724.0,2436207291.0
WISCOM,2019,753480345.0,115450067319.0,1047442466.0,30652876,16578158161.0,135113962135.0,125.81097388708322,3766.3698283645554,77087788773.0,13638497911.0,7042005660.0,63449290862.0,58026173362.0,2939660250.0
WISCOM,2020,-1721060854.0,102450918595.0,-1001070218.0,30652876,13938143324.0,130666514703.0,192.27321302575328,3342.293838757577,69866065089.0,11490261264.0,5252476825.0,58375803825.0,60800449614.0,2447882060.0
WISCOM,2021,-34184360.0,117607135078.0,1211761877.0,30652876,15140908426.0,135283853674.0,17.152564150913605,3836.740639866876,67404348077.0,13563309753.0,6497044994.0,53841038324.0,67879505597.0,1577598673.0
WISCOM,2022,744304211.0,125682312649.0,-7425221847.0,30652876,15926877005.0,128503266423.0,84.62525340199726,4100.180115203546,68374203571.0,14870292725.0,7685910563.0,53503910846.0,60129062852.0,1056584280.0
YG PLUS,2019,4526335675.0,113644883377.0,-4249703454.0,118032584,44894768053.0,156670578363.0,70.256952681812,962.8263613800067,64132498756.0,29197493442.0,7426026095.0,34935005314.0,87693621647.0,11086576549.0
YG PLUS,2020,3949008207.0,70467627776.0,-7469923477.0,120095032,46829152368.0,150978437293.0,54.07752139988605,586.7655522669747,36431200666.0,20357607788.0,2929388616.0,16073592878.0,38409934852.0,196025283.0
YG PLUS,2021,22018188672.0,120307935473.0,22615862996.0,126858820,77400987947.0,223117829736.0,61.49132338610749,948.3608272014512,106871975651.0,53384411046.0,4521567534.0,53487564605.0,112245356987.0,19354749775.0
YG PLUS,2022,10336906899.0,140221115585.0,16692367320.0,126858820,81946724778.0,241371893905.0,119.7084602316181,1105.3320185778175,108897310775.0,53040646699.0,4457387967.0,55856664076.0,77726248663.0,9670170640.0
가온전선,2018,5172922704.0,840654318393.0,98902170.0,8320694,266088415099.0,526494275213.0,3321.7353023678074,101031.75509074122,277829164685.0,147498229192.0,63213007610.0,130330935493.0,248665110528.0,118590185907.0
가온전선,2019,7118670092.0,830264391828.0,5462904198.0,8320694,255845320372.0,512573535099.0,-1580.3599258667607,99783.06999728628,264775008475.0,168070024396.0,57086106173.0,96704984079.0,247798526624.0,87775295976.0
가온전선,2020,12650885274.0,857415249064.0,9505568262.0,8320694,278899162200.0,542461377882.0,483.93427615533034,103046.12200184264,285786918608.0,192305201478.0,70310727379.0,93481717130.0,256674459274.0,86593960722.0
가온전선,2021,16571777888.0,1070383204799.0,5854428912.0,8320694,390851138494.0,658966428816.0,-1355.958517041968,128641.09710067454,401943906435.0,246544293099.0,107032910089.0,155399613336.0,257022522381.0,144306845395.0
가온전선,2022,28462568691.0,1416454404337.0,10463889335.0,12717852,449261889191.0,752332445010.0,2002.2749273226327,111375.28604177812,491767369545.0,319323694193.0,126607484184.0,172443675352.0,260565075465.0,129938194998.0
강남제비스코,2018,1696646596.0,307020826321.0,38842325064.0,13000000,108323509214.0,657866049667.0,790.4873953076923,23616.986640076924,187924542559.0,60379468884.0,48083456867.0,127545073675.0,469941507108.0,47944040330.0
강남제비스코,2019,-1964061687.0,332539412854.0,17412513511.0,13000000,111090443243.0,672270312827.0,860.7114018461539,25579.954834923075,178788069525.0,59914685663.0,50810940506.0,118873383862.0,493482243302.0,51175757580.0
강남제비스코,2020,2724671498.0,340807352504.0,25067503622.0,13000000,129656839723.0,712155828911.0,2349.2712226923077,26215.950192615386,196687871088.0,68582777262.0,47598990206.0,128105093826.0,511067988691.0,61074062461.0
강남제비스코,2021,-12719974974.0,590983999981.0,47442441436.0,13000000,242083987540.0,904010952337.0,-137.58053269230768,45460.30769084615,296850341524.0,134446267528.0,92591499388.0,162404073996.0,607160610813.0,107637720012.0
강남제비스코,2022,4405118561.0,673166188482.0,11666578220.0,13000000,278945532072.0,957791314832.0,1106.344330923077,51782.01449861538,318471402195.0,190999008997.0,99412079534.0,127472393198.0,639319912637.0,87946523075.0
강원랜드,2019,501153152199.0,1520080448803.0,334653892485.0,427881000,720360229425.0,4438119305668.0,953.2296933797014,3552.5775830265893,1878191161386.0,651342606881.0,3636529402.0,1226848554505.0,2559928144282.0,69017622544.0
강원랜드,2020,-431583873583.0,478578866341.0,-275879104412.0,427881000,394603620580.0,3641632200970.0,-1532.3801060551882,1118.4859022508595,1498178290711.0,329969961102.0,2159928406.0,1168208329609.0,2143453910259.0,64633659478.0
강원랜드,2021,-52695285784.0,788432829925.0,-10582086270.0,427881000,574480852474.0,3827273463677.0,492.8339153619815,1842.6451044215564,1657033996511.0,506759505483.0,3404348885.0,1150274491028.0,2170239467166.0,67721346991.0
강원랜드,2022,217565214200.0,1270685819109.0,115612767888.0,427881000,752374769957.0,4167752670696.0,981.9838824626473,2969.7177932859836,1206402286487.0,687658757348.0,4027395893.0,518743529139.0,2961350384209.0,64716012609.0
경농,2018,14769793146.0,212654617357.0,4878426115.0,43383500,155806650010.0,357260541135.0,244.49962225269977,4901.739540539606,169982098707.0,128301300222.0,120967752952.0,41680798485.0,187278442428.0,27505349788.0
경농,2019,8690743324.0,227510941149.0,4014663672.0,43383500,168988818766.0,370874090990.0,-23.515183191766454,5244.181339656782,185020092692.0,122608004717.0,133714687850.0,62412087975.0,185853998298.0,46380814049.0
경농,2020,14281976627.0,248295523801.0,13294935514.0,43383500,160153422896.0,371525656350.0,365.7644996830592,5723.270916385261,192497278391.0,134039319280.0,137861426982.0,58457959111.0,179028377959.0,26114103616.0
경농,2021,16758990471.0,270269449649.0,16107580204.0,39045150,151976385644.0,388785779466.0,277.0010614122369,6921.972374264154,206547236965.0,123054676615.0,136702684574.0,83492560350.0,182238542501.0,28921709029.0
경농,2022,40975101750.0,361604573086.0,30880492625.0,39045150,188148524944.0,448632689252.0,369.30445166685234,9261.190521383578,260765667954.0,156932087281.0,162194642364.0,103833580673.0,187867021298.0,31216437663.0
경동나비엔,2018,40802216776.0,726741615298.0,24748537578.0,25479020,303492202299.0,583595818485.0,-567.5646971115843,28523.13846050594,287001958633.0,275122471395.0,150049770037.0,11879487238.0,296593859852.0,28369730904.0
경동나비엔,2019,44824995058.0,774290704230.0,27852089787.0,25479020,308765718718.0,609808342818.0,3083.119662059216,30389.34402618311,274279157189.0,270253540870.0,138114360635.0,4025616319.0,335529185629.0,38512177848.0
경동나비엔,2020,67099322639.0,873409018805.0,41637325058.0,27209460,386524891923.0,734688738144.0,2117.8340087601887,32099.461687405776,360418516941.0,337976616947.0,177987454870.0,22441899994.0,374270221203.0,48548274976.0
경동나비엔,2021,64295519089.0,1102947009588.0,80657672817.0,29137184,483469066212.0,933884528777.0,2768.576352024959,37853.589749373175,475582013326.0,434731119888.0,262270192403.0,40850893438.0,458302515451.0,48737946324.0
경동나비엔,2022,59770841498.0,1160860788602.0,53582342499.0,29137184,500314843682.0,1018019428372.0,320.75913688158744,39841.214188783655,523037781853.0,423564089051.0,311939315861.0,99473692802.0,494981646519.0,76750754631.0
경동도시가스,2018,42657143033.0,1606531867022.0,34164797763.0,9434126,457779538855.0,778269612439.0,12794.531868240894,170289.4223611175,444232799134.0,375912236950.0,1299645760.0,68320562184.0,334036813305.0,81867301905.0
경동도시가스,2019,28055130177.0,1422707835302.0,24638348063.0,11790812,410387431240.0,749999474069.0,2881.3432114768684,120662.41369144042,395154173979.0,321180745138.0,1333401728.0,73973428841.0,354845300090.0,89206686102.0
경동도시가스,2020,18135395014.0,1086830627542.0,19017069207.0,11790812,342980473922.0,699658164834.0,26.66299700139397,92176.0628141641,328492278966.0,260556646662.0,1242787144.0,67935632304.0,371165885868.0,82423827260.0
경동도시가스,2021,27131980264.0,1457154328305.0,22151257538.0,11790812,529075278966.0,904491765792.0,11766.532532958714,123583.88279831788,530447175595.0,451736777214.0,1409613028.0,78710398381.0,374044590197.0,77338501752.0
경동도시가스,2022,25271267744.0,2304945009655.0,24201000345.0,11790812,672626336234.0,1067615033035.0,4461.323459571741,195486.53728470948,690019275269.0,598220338526.0,1716135847.0,91798936743.0,377595757766.0,74405997708.0
경동인베스트,2018,40016121210.0,227735231125.0,30560130897.0,4730046,192244199979.0,600099804382.0,2645.6088188148697,48146.515092030815,188460288705.0,78414333111.0,30703228593.0,110045955594.0,411639515677.0,113829866868.0
경동인베스트,2019,22867438222.0,271747673450.0,8856009136.0,4730046,190933745534.0,605467383487.0,6847.863630924519,57451.380694817766,236475693003.0,84662495766.0,30814751132.0,151813197237.0,368991690484.0,106271249768.0
경동인베스트,2020,18635998718.0,310532987835.0,16483709223.0,4730046,158532500949.0,589277834910.0,3902.186773447869,65651.15600038561,237079426317.0,74504112290.0,32025574825.0,162575314027.0,352198408593.0,84028388659.0
경동인베스트,2021,13774493797.0,298461108885.0,13891393231.0,4730046,137939973548.0,577693061246.0,5369.071606703191,63098.986539454374,232297763863.0,61146241941.0,33499860063.0,171151521922.0,345395297383.0,76793731607.0
경동인베스트,2022,14709420695.0,275539561544.0,9356775877.0,4730046,136105199735.0,586813597619.0,5756.923308568246,58253.04057169846,238353577485.0,65544892616.0,35676766718.0,172808684869.0,348460020134.0,70560307119.0
경방,2018,40979750900.0,351438925710.0,20189241082.0,54830540,593023494354.0,1301792841122.0,220.56861473551055,6409.547046408808,120711491584.0,163151848547.0,59792825248.0,-42440356963.0,1181081349538.0,429871645807.0
경방,2019,32020529934.0,343892084610.0,43621630599.0,54830540,629189292265.0,1370742491338.0,1219.6722009485954,6271.907674263284,264861015657.0,192380293355.0,31308040971.0,72480722302.0,1105881475681.0,436808998910.0
경방,2020,21853996547.0,329224740782.0,13025702736.0,54830540,522972243564.0,1264902051181.0,613.4473862923837,6004.404493955376,117330818266.0,285640753841.0,26578558195.0,-168309935575.0,1147571232915.0,237331489723.0
경방,2021,53796815200.0,383357144805.0,22281879937.0,54830540,518658698167.0,1270805118229.0,381.3597184707647,6991.671882221112,125501061907.0,230716413570.0,42638706684.0,-105215351663.0,1145304056322.0,287942284597.0
경방,2022,31895306272.0,389227582838.0,4415249761.0,54830540,493309854178.0,1248318313535.0,533.560767466452,7098.736996535143,149882373163.0,199537522037.0,80622146096.0,-49655148874.0,1098435940372.0,293772332141.0
경인양행,2018,19691167128.0,331102010907.0,13801882002.0,80792730,189237206800.0,412996589313.0,23.187877275591504,4098.165898181681,234817064461.0,156924274215.0,123873221840.0,77892790246.0,178179524852.0,32312932585.0
경인양행,2019,23555055195.0,358802385700.0,16372879613.0,81572730,234647862562.0,472081003161.0,82.97098358728462,4398.558019328273,251884674495.0,192593605867.0,141253404314.0,59291068628.0,220196328666.0,42054256695.0
경인양행,2020,3369846654.0,329312078179.0,-7581553453.0,82552730,276720395053.0,505102150581.0,660.785341029909,3989.1119067655304,263172507506.0,216267408557.0,109420542034.0,46905098949.0,241929643075.0,60452986496.0
경인양행,2021,28354678017.0,403325658612.0,27210074941.0,83152730,327622550348.0,579492465098.0,111.01214153762601,4850.419927427518,325579208757.0,269212053516.0,136530696356.0,56367155241.0,253913256341.0,58410496832.0
경인양행,2022,28060459106.0,402637341238.0,17240723264.0,83232730,282098495707.0,548252999063.0,254.6733858182953,4837.488103994667,263604207552.0,214042008855.0,164507719499.0,49562198697.0,284648791511.0,68056486852.0
경인전자,2018,-1741614048.0,18467479021.0,-680754972.0,3141594,2774434031.0,57418577876.0,-57.881149505633125,5878.378625945937,43780371889.0,2187323725.0,1582095731.0,41593048164.0,13638205987.0,587110306.0
경인전자,2019,-1611640664.0,13310900398.0,243035558.0,3141594,2407490833.0,56871283730.0,125.9038494471278,4236.989374820553,44909126558.0,1921697544.0,1638987161.0,42987429014.0,11962157172.0,485793289.0
경인전자,2020,968626905.0,20795738469.0,1350532788.0,3141594,3767675908.0,57835598428.0,-905.9197436078628,6619.486308224424,45470810297.0,2530545593.0,2070389573.0,42940264704.0,12364788131.0,1237130315.0
경인전자,2021,1998761089.0,27390668647.0,3699859217.0,3141594,6287918773.0,65884752780.0,199.6590819819493,8718.71688289448,49553740456.0,5027688473.0,3976048110.0,44526051983.0,16331012324.0,1260230300.0
경인전자,2022,110384573.0,20057915796.0,2707450221.0,3141594,4422682389.0,68385030301.0,1804.6026046013585,6384.630157811608,54518303281.0,3117826571.0,2932663651.0,51400476710.0,13866727020.0,1304855818.0
계룡건설산업,2018,153692923128.0,2292657937744.0,94529275719.0,17861814,1286386579150.0,1726211682257.0,5826.133544386925,128355.26882902264,1078438580641.0,1005435468980.0,311519598681.0,73003111661.0,647773101616.0,280951110170.0
계룡건설산업,2019,135902911302.0,2275710115224.0,74556837875.0,17861814,1501898907656.0,2004566138171.0,760.908181330295,127406.43896661335,1277206885693.0,1153160037090.0,412939455088.0,124046848603.0,727359252478.0,348738870566.0
계룡건설산업,2020,174797290180.0,2199961908176.0,95413721382.0,17861814,1464251994000.0,2070254078107.0,10847.96213525681,123165.64869480782,1351939390136.0,1026072701942.0,430082231104.0,325866688194.0,718314687971.0,438179292058.0
계룡건설산업,2021,232741989538.0,2561801412006.0,156417920465.0,17861814,1572714062300.0,2327054067482.0,6854.593640489146,143423.3618156588,1598100581406.0,1092193640171.0,529954440787.0,505906941235.0,728953486076.0,480520422129.0
계룡건설산업,2022,132836469827.0,2949680250000.0,60339311955.0,17861814,1757274727927.0,2560028661008.0,1604.7250016151775,165138.89630694845,1703568860436.0,1342285677004.0,655465309565.0,361283183432.0,856459800572.0,414989050923.0
계양전기,2018,8616655736.0,365071318132.0,7700773366.0,68000000,90690392344.0,273358874947.0,-43.71214367647059,5368.695854882353,135072511940.0,58894671271.0,47000265511.0,76177840669.0,138286363007.0,31795721073.0
계양전기,2019,2348037078.0,375025411691.0,-2538604866.0,68000000,103813136493.0,281736766096.0,-39.1481534117647,5515.079583691177,144362927910.0,72865182804.0,48755920615.0,71497745106.0,137373838186.0,30947953689.0
계양전기,2020,3007589451.0,379681389812.0,9385033043.0,68000000,108486343890.0,294209839079.0,271.1899421911765,5583.5498501764705,163154116094.0,98164153038.0,45209086510.0,64989963056.0,131055722985.0,10322190852.0
계양전기,2021,2851793499.0,380174710858.0,-6211393820.0,68000000,101825429113.0,285053130217.0,-60.80360973529412,5590.804571441176,151757480787.0,91885377656.0,57184532749.0,59872103131.0,133295649430.0,9940051457.0
계양전기,2022,-10631134052.0,365075103182.0,-24539071245.0,68000000,169633025975.0,297554555403.0,-92.45993844117648,5368.751517382353,154643823757.0,131941547098.0,49730759302.0,22702276659.0,75708298801.0,4565419983.0
고려산업,2018,5809620442.0,158429983655.0,3713061195.0,49878850,121233176493.0,213622766568.0,-114.6905056151054,3176.2958379152687,116104316047.0,103540646130.0,26250323251.0,12563669917.0,97518450521.0,17692530363.0
고려산업,2019,5812227924.0,192457070597.0,4728660727.0,49878850,110666851118.0,206489849711.0,209.4571941614532,3858.490534505106,109391247960.0,95162935419.0,29120581074.0,14228312541.0,97098601751.0,15503915699.0
고려산업,2020,9182830145.0,190504557339.0,6765681684.0,49878850,113937778871.0,216577001107.0,-62.055946117442566,3819.3454207344394,96302418448.0,100546417934.0,30068226796.0,-4243999486.0,120274582659.0,13391360937.0
고려산업,2021,4862496672.0,213486551495.0,4520564728.0,49878850,131754293786.0,238594901035.0,296.59946674793025,4280.101716358738,98974212002.0,117874864504.0,31690350280.0,-18900652502.0,139620689033.0,13879429282.0
고려산업,2022,4425326213.0,278370976022.0,417869202.0,49878850,169050032748.0,274703527826.0,-395.44406240320296,5580.942143253103,127812632315.0,148284814914.0,50880760728.0,-20472182599.0,146890895511.0,20765217834.0
고려아연,2018,764718763710.0,6883323139792.0,534814939005.0,37740000,851366368823.0,7225894143698.0,23538.189133783784,182388.0005244303,3965909725715.0,538439985665.0,1287964177467.0,3427469740050.0,3259984417983.0,312926383158.0
고려아연,2019,805328836892.0,6694810889702.0,638613351819.0,37740000,1002169326090.0,7840561221499.0,18353.478511049285,177392.97534981451,4597942700017.0,704279137809.0,1555733552612.0,3893663562208.0,3242618521482.0,297890188281.0
고려아연,2020,897387769203.0,7581926858435.0,574828670832.0,37740000,1412616891338.0,8499645577650.0,12096.528536645468,200898.96286261262,4912869202998.0,1118415592360.0,2250033727712.0,3794453610638.0,3586776374652.0,294201298978.0
고려아연,2021,1096146343693.0,9976776443636.0,811106029144.0,37740000,2229814171825.0,9964048634649.0,16080.65417501325,264355.4966517223,5689044210643.0,1770527531625.0,2909108884069.0,3918516679018.0,4275004424006.0,459286640200.0
고려아연,2022,919171130822.0,11219358600107.0,798264387415.0,39726316,2866186242426.0,12097918358974.0,19752.51274316501,282416.2854694858,6071090869900.0,2319116608598.0,2825444894721.0,3751974261302.0,6026827489074.0,547069633828.0
고려제강,2018,38019482740.0,1577235683490.0,1876026611.0,40000000,931427731835.0,2390589074382.0,3101.195564275,39430.89208725,949368314163.0,690066631117.0,322701066302.0,259301683046.0,1441220760219.0,241361100718.0
고려제강,2019,22446354948.0,1639715935474.0,-4214666039.0,40000000,875788211894.0,2346638058685.0,2043.892029775,40992.89838685,916181572072.0,640459454298.0,331584643178.0,275722117774.0,1430456486613.0,235328757596.0
고려제강,2020,9831441983.0,1397372009900.0,2725914319.0,40000000,782790768807.0,2245729071452.0,4487.379920525,34934.3002475,857825866621.0,587336954887.0,266118695122.0,270488911734.0,1387903204831.0,195453813920.0
고려제강,2021,98526648327.0,1691354877090.0,133312251875.0,46000000,836162462939.0,2474272367565.0,857.9010797608696,36768.584284565215,1077770577004.0,601225850753.0,374688704601.0,476544726251.0,1396501790561.0,234936612186.0
고려제강,2022,133503465388.0,2072550223138.0,92322769549.0,46000000,805246239566.0,2532768398255.0,2362.4105619565216,45055.439633434784,1153075088455.0,561483968404.0,387466534638.0,591591120051.0,1379693309800.0,243762271162.0
광동제약,2018,33944903371.0,1180219946714.0,21974420332.0,104841702,301218199947.0,732056804258.0,506.44420477836195,11257.161265027918,459081837906.0,271353254041.0,114471495063.0,187728583865.0,272974966352.0,29864945906.0
광동제약,2019,41803237663.0,1238254695797.0,22655801517.0,104841702,345318812800.0,792776012791.0,279.3286165270381,11810.707687643224,525962736256.0,308362266615.0,146952708385.0,217600469641.0,266813276535.0,36956546185.0
광동제약,2020,46590713437.0,1243769596221.0,45601967385.0,104841702,328461745965.0,830643378837.0,217.74449344593813,11863.30985184693,584494494753.0,302187232161.0,171348802974.0,282307262592.0,246148884084.0,26274513804.0
광동제약,2021,44935683503.0,1338181554321.0,25540744737.0,104841702,356600480140.0,883845298043.0,524.0267863926895,12763.82898019912,587818346685.0,325495058579.0,152492831953.0,262323288106.0,296026951358.0,31105421561.0
광동제약,2022,38244441686.0,1431545255139.0,26700699296.0,104841702,384977525142.0,932023758862.0,599.2084568981911,13654.349632162592,605746753111.0,353566874753.0,161410180021.0,252179878358.0,326277005751.0,31410650389.0
광명전기,2018,2850771482.0,112564854194.0,2718091659.0,86675230,53074770309.0,151823119344.0,-44.02517910826426,1298.6969194543817,69980313819.0,36256154883.0,11273625408.0,33724158936.0,81842805525.0,16818615426.0
광명전기,2019,8097207597.0,131864294017.0,7118200306.0,86675230,51313844678.0,156712705142.0,236.46816021140066,1521.360762665412,87126905864.0,45133574155.0,7915758168.0,41993331709.0,69585799278.0,6180270523.0
광명전기,2020,4237432604.0,123548324516.0,4529827099.0,86675230,56097483957.0,165884690369.0,60.80048941318068,1425.4167484297418,92816477835.0,43849787048.0,12776185350.0,48966690787.0,62843799641.0,6247696909.0
광명전기,2021,2865250702.0,137092770026.0,5858897713.0,86675230,54791365737.0,169926626919.0,-29.258754202325164,1581.6833716622384,112590039911.0,49125546455.0,17551402406.0,63464493456.0,57336587008.0,5665819282.0
광명전기,2022,4635070783.0,138239355910.0,5635248054.0,86675230,53307671271.0,172178417133.0,-10.634392351771089,1594.9119017047892,107721627777.0,49661800189.0,16410028758.0,58059827588.0,64456789356.0,3645871082.0
광전자,2018,2535763422.0,176929799960.0,6337706919.0,115887526,37717805263.0,262117704395.0,108.33137463819877,1526.7372258857265,130835459538.0,23242868806.0,29320405630.0,107592590732.0,131282244857.0,14474936457.0
광전자,2019,-1452777949.0,166182499009.0,3363537797.0,115887526,37863786811.0,260279874598.0,86.70695609637917,1433.9981596379926,127493672888.0,22636930818.0,28994568079.0,104856742070.0,132786201710.0,15226855993.0
광전자,2020,-7841404443.0,150172566811.0,-16332831610.0,115887526,42098516463.0,243369782680.0,44.724749737085595,1295.8475514526042,118256101359.0,24657782433.0,27732548373.0,93598318926.0,125113681321.0,17440734030.0
광전자,2021,6916463299.0,173773675132.0,10469916074.0,115887526,28253535695.0,238961555432.0,-11.287632294436936,1499.502846682567,121048234766.0,21816495317.0,32285157065.0,99231739449.0,117913320666.0,6437040378.0
광전자,2022,5837058369.0,152201072028.0,13137606608.0,115887526,20234706018.0,247855306698.0,150.61118522799424,1313.3516374143667,124433720602.0,16592154606.0,35328268370.0,107841565996.0,123421586096.0,3642551412.0
교촌에프앤비,2020,41029973016.0,447628198910.0,23840266210.0,49965080,76008564599.0,229529528906.0,550.0140652831938,8958.820818659751,77512166759.0,48412594597.0,13336898169.0,29099572162.0,152017362147.0,27595970002.0
교촌에프앤비,2021,40962441268.0,507628215445.0,29849753012.0,49965080,74918333469.0,254727912986.0,652.7553270404051,10159.659815315015,79621451636.0,57924333464.0,13722327654.0,21697118172.0,175106461350.0,16994000005.0
교촌에프앤비,2022,8840657464.0,517457457887.0,4943478021.0,49965080,125754598439.0,304973382954.0,90.40166116015425,10356.38205496719,111322995611.0,102735562443.0,18323679985.0,8587433168.0,193650387343.0,23019035996.0
국도화학,2018,68614503035.0,1280615689942.0,48789328505.0,11621232,349143875402.0,854418440592.0,-1045.3559990025153,110196.20724738995,451232453413.0,269570535095.0,128547795284.0,181661918318.0,403185987179.0,79573340307.0
국도화학,2019,42109678731.0,1121448682521.0,35541390155.0,11621232,370921230502.0,905420095055.0,7566.657203728486,96499.98231865605,438749361308.0,230929402829.0,134325365553.0,207819958479.0,466670733747.0,139991827673.0
국도화학,2020,46017285546.0,1132659694859.0,30768934687.0,11621232,378314967567.0,930557566476.0,6800.205506266461,97464.68316431511,453624773433.0,247461886118.0,123384003832.0,206162887315.0,476932793043.0,130853081449.0
국도화학,2021,204707042943.0,1577111746723.0,157086037851.0,18021232,601421179530.0,1416366191782.0,-1438.858124960602,87514.09152953583,804619330668.0,481963389160.0,265440278451.0,322655941508.0,611746861114.0,119457790370.0
국도화학,2022,96930520486.0,1601774176672.0,73532423341.0,18021232,640905700204.0,1499093658603.0,6296.246192380188,88882.61228044787,746044369391.0,494386760683.0,272483907356.0,251657608708.0,753049289212.0,146518939521.0
국동,2018,5762203843.0,219550053529.0,2111761201.0,27480960,74659656782.0,123134701589.0,-143.54182051864274,7989.169720744836,83767312327.0,63170689604.0,32699650804.0,20596622723.0,39367389262.0,11488967178.0
국동,2019,-4249136327.0,223077182701.0,-4523376158.0,55192312,68242500009.0,133723726191.0,70.68023300056718,4041.816235221311,89543257892.0,42862482414.0,32361903944.0,46680775478.0,44180468299.0,25380017595.0
국동,2020,26588642518.0,253421044030.0,10672756379.0,77691728,96865598332.0,180700681914.0,334.3793206916443,3261.8793603097615,133048249849.0,84320571683.0,30006610056.0,48727678166.0,47652432065.0,12545026649.0
국동,2021,-769194716.0,226076662962.0,-7948938059.0,109925952,66109970105.0,168474550907.0,-230.30809513480492,2056.62683696385,103105105390.0,52591898214.0,59650413826.0,50513207176.0,65369445517.0,13518071891.0
국동,2022,17033935517.0,329876667193.0,1390173806.0,121629936,65952316049.0,175008166225.0,82.74748636717197,2712.1338548842123,109587105436.0,53328492035.0,58144927601.0,56258613401.0,65421060789.0,12623824014.0
국보,2018,-5293766173.0,71549827901.0,-3999571864.0,3364608,34775906618.0,48188112711.0,-1806.4979079286502,21265.42762217768,11759027330.0,28126736848.0,354646345.0,-16367709518.0,36429085381.0,6649169770.0
국보,2019,-968491480.0,89087334122.0,-6676273731.0,47933010,86752438550.0,115356448465.0,-206.53183054850928,1858.5800082657024,70457619225.0,75280895350.0,43435167949.0,-4823276125.0,44898829240.0,11471543200.0
국보,2020,-10803222467.0,109928740663.0,-20527205181.0,98752890,59996330250.0,90823630562.0,-107.61482182445496,1113.1698592618404,50578929734.0,53421973638.0,25685353718.0,-2843043904.0,40244700828.0,6574356612.0
국보,2021,-8008762543.0,96849603243.0,-17669052258.0,130817458,70471633267.0,102314951997.0,15.54431909997823,740.3415776738301,59500693857.0,61164900596.0,27715593618.0,-1664206739.0,42814258140.0,9306732671.0
국보,2022,-14020928187.0,102255056679.0,-24431930755.0,209140662,66871513556.0,109959854401.0,6.961482961166108,488.92958309082906,60512506039.0,54665743281.0,27490642578.0,5846762758.0,49447348362.0,12205770275.0
국제약품,2018,3287017509.0,107681163418.0,2182873368.0,36114214,57536743012.0,126234895634.0,366.8558610468443,2981.68370542413,54559369036.0,48199751500.0,14183645117.0,6359617536.0,71675526598.0,9336991512.0
국제약품,2019,5570756961.0,111121601008.0,-4761811946.0,36801040,73639660970.0,134593614097.0,97.923412381824,3019.5233886868414,61135035867.0,59250771507.0,16595366817.0,1884264360.0,73458578230.0,14388889463.0
국제약품,2020,6041374040.0,130394720787.0,2194568946.0,36801040,75126688033.0,145625551890.0,138.5815732924939,3543.234669101743,49940201956.0,55357616964.0,21651887423.0,-5417415008.0,95685349934.0,19769071069.0
국제약품,2021,-1675903581.0,119745568736.0,-1555791280.0,38552180,71195237941.0,139783046684.0,248.9366829839454,3106.064786375245,48197308387.0,54516684923.0,16540406112.0,-6319376536.0,91585738297.0,16678553018.0
국제약품,2022,5272527164.0,126583402933.0,3542773665.0,40390298,62513602796.0,136592862806.0,161.02354919490816,3134.005174534736,48535452258.0,47855143190.0,22235167103.0,680309068.0,88057410548.0,14658459606.0
극동유화,2018,18556595607.0,830880010059.0,16292224722.0,69738840,120212239300.0,280142460192.0,178.0728944301339,11914.16447504719,126806827135.0,68911775493.0,19676561539.0,57895051642.0,153335633057.0,51300463807.0
극동유화,2019,16654511338.0,795562280829.0,14202848272.0,69738840,120646493275.0,289929212225.0,42.701660136589595,11407.73607402991,118470812785.0,80661972067.0,24884800426.0,37808840718.0,171458399440.0,39984521208.0
극동유화,2020,14308599806.0,622861174912.0,7172430393.0,69738840,119909003270.0,292655447721.0,349.3348019267312,8931.338331867866,111332378432.0,82518295059.0,18879380569.0,28814083373.0,181323069289.0,37390708211.0
극동유화,2021,20485805841.0,964831742550.0,11007701446.0,69738840,139852066541.0,321935348473.0,-203.98746995218158,13834.926743117609,145898981055.0,112208708180.0,27504727558.0,33690272875.0,176036367418.0,27643358361.0
