corp,year,operating_income,revenue,net_income,outstanding_shares,total_liabilities,total_assets,cash_flow_per_share,sales_per_share,current_assets,current_liabilities,inventory,net_working_capital,non_current_assets,non_current_liabilities
CJ,2020,1390340166000.0,31999102947000.0,204007798000.0,71327466,24628738994000.0,40024965069000.0,42519.59238254728,448622.4555769302,11077496820000.0,11422602369000.0,2238146145000.0,-345105549000.0,28906855585000.0,13206136625000.0
CJ,2021,1881800099000.0,34484026554000.0,806961658000.0,71327466,25492465688000.0,41955995804000.0,47011.21343635003,483460.6987720551,12020596817000.0,12546083570000.0,2735868912000.0,-525486753000.0,29903605514000.0,12946382118000.0
CJ,2022,2154201790000.0,40924879773000.0,686845690000.0,71327466,30506774819000.0,48240408307000.0,56710.07519039019,573760.4609842722,15143819806000.0,16950325414000.0,3707465503000.0,-1806505608000.0,33066755593000.0,13556449405000.0
CJ CGV,2018,77706738825.0,1769356467477.0,-188541087052.0,42322626,1683905312410.0,2234185992506.0,2488.211273941272,41806.39612194669,497032022016.0,861419339061.0,18772487500.0,-364387317045.0,1737153970490.0,822485973349.0
CJ CGV,2019,121975391246.0,1942279329129.0,-239075347803.0,42322626,3922936967719.0,4524046865181.0,6694.751326607191,45892.22155376181,677012677226.0,1120212893223.0,21571387028.0,-443200215997.0,3847034187955.0,2802724074496.0
CJ CGV,2020,-388660290864.0,583443792479.0,-751648434193.0,70200000,4066971784892.0,4354856895866.0,-3823.9867467378917,8311.16513502849,949421926188.0,1311262165175.0,16205558012.0,-361840238987.0,3405434969678.0,2755709619717.0
CJ CGV,2021,-241445734017.0,736315366659.0,-338788006843.0,81613424,3484207008067.0,3785492375609.0,-2105.984765288122,9021.988425078207,620645630707.0,975423222361.0,12767617752.0,-354777591654.0,3164846744902.0,2508783785706.0
CJ CGV,2022,-76765794985.0,1281306043785.0,-214507519598.0,95443556,3208379045793.0,3601468386488.0,1127.8048150469162,13424.751732689005,682681904094.0,1238638115169.0,17027414291.0,-555956211075.0,2918786482394.0,1969740930624.0
CJ대한통운,2018,242686925620.0,9219680477069.0,66600069013.0,45624688,4737828934873.0,7868566775246.0,1440.633229864498,202076.57041005956,2180844614750.0,2614012911832.0,21224161938.0,-433168297082.0,5687722160496.0,2123816023041.0
CJ대한통운,2019,307186346174.0,10415108625820.0,50889855210.0,45624688,5454770837946.0,9110016110171.0,18636.284790155714,228277.91448831387,2322199311011.0,2508694254095.0,22859293319.0,-186494943084.0,6787816799160.0,2946076583851.0
CJ대한통운,2020,325337561292.0,10781127150206.0,142623241320.0,45624688,5603556698067.0,9643498959607.0,12544.69167857104,236300.2931703555,2538547347452.0,2807606983722.0,25323773935.0,-269059636270.0,7104951612155.0,2795949714345.0
CJ대한통운,2021,343880765667.0,11343651787492.0,158279696245.0,45624688,4977570577451.0,8993928516384.0,7542.917869334252,248629.68460172263,2348222541961.0,2448916060807.0,25128745438.0,-100693518846.0,6645705974423.0,2528654516644.0
CJ대한통운,2022,411786887242.0,12130712862374.0,196821784424.0,45624688,5658991479602.0,9693299818264.0,13653.552656031314,265880.45626468724,2956459492592.0,3108759801795.0,34299355194.0,-152300309203.0,6736840325672.0,2550231677807.0
CJ제일제당,2018,832709680000.0,18670059989000.0,925388625000.0,32763238,12188810794000.0,19497022884000.0,14388.844075790066,569847.8272812961,5520191585000.0,6680407860000.0,1497619027000.0,-1160216275000.0,13974585382000.0,5508402934000.0
