표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
"KR7010770006","010770","평화홀딩스보통주","평화홀딩스","Pyung Hwa Holdings","1986/03/31","KOSPI","주권",,"보통주","500","14625466"
"KR7058430000","058430","포스코스틸리온보통주","포스코스틸리온","POSCO STEELEON","2002/08/16","KOSPI","주권",,"보통주","5000","6000000"
"KR7047050000","047050","포스코인터내셔널보통주","포스코인터내셔널","POSCO INTERNATIONAL","2001/03/23","KOSPI","주권",,"보통주","5000","175922788"
"KR7003670007","003670","포스코퓨처엠보통주","포스코퓨처엠","POSCO FUTURE M","2019/05/29","KOSPI","주권",,"보통주","500","77463220"
"KR7005490008","005490","포스코홀딩스보통주","POSCO홀딩스","POSCO Holdings Inc.","1988/06/10","KOSPI","주권",,"보통주","5000","84571230"
"KR7017810003","017810","풀무원보통주","풀무원","Pulmuone Corporate","1995/10/05","KOSPI","주권",,"보통주","500","38120542"
"KR7103140000","103140","풍산 보통주","풍산","POONGSAN CORPORATION","2008/07/30","KOSPI","주권",,"보통주","5000","28024278"
"KR7005810007","005810","풍산홀딩스보통주","풍산홀딩스","POONGSAN HOLDINGS","1988/07/28","KOSPI","주권",,"보통주","5000","9998528"
"KR8702070002","950210","프레스티지바이오파마KDR","프레스티지바이오파마","PRESTIGE BIOPHARMA LIMITED KDR","2021/02/05","KOSPI","주식예탁증권",,"보통주","무액면","60096155"
"KR7009810003","009810","플레이그램보통주","플레이그램","Playgram","1988/08/31","KOSPI","주권",,"보통주","100","126750187"
"KR7178920005","178920","피아이첨단소재보통주","PI첨단소재","PI Advanced Materials Co., Ltd.","2021/08/09","KOSPI","주권",,"보통주","500","29366322"
"KR7086790003","086790","하나금융지주보통주","하나금융지주","HanaFinancialGroupInc.","2005/12/12","KOSPI","주권",,"보통주","5000","295903476"
"KR7293480000","293480","하나제약보통주","하나제약","Hana Pharm","2018/10/02","KOSPI","주권",,"보통주","500","17772946"
"KR7039130000","039130","하나투어보통주","하나투어","HANATOUR SERVICE","2011/11/01","KOSPI","주권",,"보통주","500","16039185"
"KR7352820005","352820","하이브보통주","하이브","HYBE","2020/10/15","KOSPI","주권",,"보통주","500","41649072"
"KR7071090005","071090","하이스틸 보통주","하이스틸","HISTEEL CO., LTD.","2003/02/17","KOSPI","주권",,"보통주","500","20191471"
"KR7019490002","019490","하이트론씨스템즈보통주","하이트론","HitronSystems","1998/11/04","KOSPI","주권",,"보통주","500","9611224"
