corp,stock_code,sector,year,revenue,cost_of_sales,gross_profit,operating_income,net_income,ebit,ebitda,total_equity,total_assets,total_liabilities,current_assets,current_liabilities,non_current_liabilities,short_borrowing,long_borrowing,cash_and_equivalents,retained_earnings,tangible_assets,intangible_assets,accounts_receivable,inventory,accounts_payable,outstanding_shares,cash_flow_operating,selling_general_administrative_expenses,cash_flow_investing,cash_flow_financing,long_term_assets,interest,tax,stock_price,market_capitalization,borrowings,net_liabilities,cash_flow_per_share
서울도시가스,017390,전기가스업,2020,1280710876032.0,1091702741607.0,189008134425.0,7989732658.0,131240849416.0,188277341793.0,220991380580.0,1034484756644.0,1689713125758.0,655228369114.0,865992763436.0,383332118828.0,271896250286.0,0.0,10308570000.0,30818526538.0,1023337623889.0,574102887806.0,11123662975.0,3431025785.0,1123163886.0,5515999625.0,5000000,57059466190.0,181018401767.0,18263187223.0,-69785798726.0,823720362322.0,3635066767.0,9392294313.0,90500.0,452500000000.0,10308570000.0,624409842576.0,11411.893238
서울도시가스,017390,전기가스업,2021,1277844476509.0,1102249618499.0,175594858010.0,-4941094915.0,8540875496.0,3892873299.0,37533248824.0,1038771292420.0,1662601876033.0,623830583613.0,737642195366.0,362324422582.0,261506161031.0,0.0,8992190000.0,50147695030.0,1026332198643.0,560517943090.0,10383785377.0,4865180100.0,1345124149.0,6860926705.0,5000000,2591530037.0,180535952925.0,29037742229.0,-12227405858.0,924959680667.0,4831026152.0,67823319792.0,167500.0,837500000000.0,8992190000.0,573682888583.0,518.3060074
서울도시가스,017390,전기가스업,2022,1724452004293.0,1532053665682.0,192398338611.0,3324640638.0,17919220491.0,22506025659.0,56005979165.0,1052968760901.0,1871342447045.0,818373686144.0,1062951374975.0,557406644342.0,260967041802.0,0.0,7735320000.0,49392680942.0,1039784909235.0,557919629761.0,7600916330.0,5719708301.0,1452230223.0,6487147687.0,5000000,89737713069.0,189073697973.0,-79438890276.0,-10632603878.0,808391072070.0,3996532379.0,1694542105.0,425000.0,2125000000000.0,7735320000.0,768981005202.0,17947.5426138
서흥,008490,화학,2018,393476122727.0,319179635929.0,74296486798.0,39306801711.0,29384182358.0,35079647679.0,35079647679.0,308172371670.0,639100629515.0,330928257845.0,214007298754.0,193910411031.0,137017846814.0,154809131002.0,118576822321.0,13168353711.0,242181407568.0,381565309628.0,10798317870.0,73201028894.0,116196670814.0,17748565067.0,11569113,49006540708.0,30517910374.0,-50759650974.0,3183295333.0,425093330761.0,10169016088.0,4487690732.0,23400.0,270717244200.0,273385953323.0,317759904134.0,4235.98081443236
서흥,008490,화학,2019,460728389318.0,369360374744.0,91368014574.0,47404022867.0,37366003811.0,44883007362.0,44883007362.0,328994625140.0,708861042205.0,379866417065.0,264590901712.0,196328591579.0,183537825486.0,144608705665.0,176579975646.0,23020986586.0,269959255005.0,391981387615.0,8066000205.0,83682894883.0,141009306879.0,21998032229.0,11569113,22115561779.0,39075597327.0,-45845429945.0,33931354244.0,444270140493.0,12070065362.0,5548320225.0,35500.0,410703511500.0,321188681311.0,356845430479.0,1911.6039214933764
서흥,008490,화학,2020,553012153653.0,432048748861.0,120963404792.0,74317231751.0,59261938767.0,72155214447.0,72155214447.0,376982269992.0,765989775630.0,389007505638.0,314069599558.0,267309467891.0,121698037747.0,230385780932.0,116716462608.0,37590090574.0,317532453403.0,404301758152.0,7523001888.0,81017999756.0,166377902195.0,9209605607.0,11569113,46093480955.0,40624169074.0,-57227422762.0,27690776946.0,451920176072.0,16764453951.0,11034197369.0,51000.0,590024763000.0,347102243540.0,351417415064.0,3984.1845226163837
서흥,008490,화학,2021,596733152009.0,470499756778.0,126233395231.0,69603625435.0,59295136504.0,74848835599.0,74848835599.0,429868450943.0,809954854056.0,380086403113.0,318602620368.0,236373770859.0,143712632254.0,204920100904.0,137496260846.0,26331816542.0,363632803485.0,411920527747.0,7092928104.0,90822880319.0,181994990259.0,8196814331.0,11569113,66850062699.0,49515412593.0,-56787536052.0,-23234775412.0,491352233688.0,9013278086.0,16229694492.0,44200.0,511354794600.0,342416361750.0,353754586571.0,5778.322218738809
서흥,008490,화학,2022,634966079026.0,497687749037.0,137278329989.0,61977343251.0,40596746960.0,51945894785.0,51945894785.0,469724117636.0,926418535898.0,456694418262.0,399896261499.0,281268559520.0,175425858742.0,231204809630.0,172571245950.0,37018161860.0,392600152711.0,427930144598.0,5927794561.0,87231822385.0,236814965790.0,17824982119.0,11569113,52908805251.0,67919270110.0,-93446936079.0,50518778830.0,526522274399.0,20831220674.0,12851725710.0,33650.0,389300652450.0,403776055580.0,419676256402.0,4573.281050241276
선도전기,007610,전기전자,2018,83770850181.0,76418060087.0,7352790094.0,1130643788.0,-820208221.0,-1664518405.0,268034391.0,83831963600.0,149094572406.0,65262608806.0,70851477673.0,24778989149.0,40483619657.0,6272781820.0,31987189477.0,3300111081.0,42526302444.0,38659920757.0,6580223371.0,40651317840.0,6946710151.0,13807780918.0,18000000,2466810981.0,1993912344.0,-3491256737.0,2846418842.0,78243094733.0,3363595250.0,-164303356.0,4415.0,79470000000.0,38259971297.0,61962497725.0,137.0450545
선도전기,007610,전기전자,2019,89348990459.0,82793151153.0,6555839306.0,-1673026428.0,-2154052672.0,-1167694479.0,726241042.0,86521132019.0,167027319234.0,80506187215.0,71491002132.0,40419094279.0,40087092936.0,17693021224.0,30666250000.0,1297351853.0,42699027399.0,48026629347.0,5839530914.0,44577131880.0,6853516575.0,14941883417.0,18000000,-886559841.0,1813162620.0,-10684977678.0,9568778290.0,95536317102.0,1188035599.0,244472437.0,3035.0,54630000000.0,48359271224.0,79208835362.0,-49.2533245
선도전기,007610,전기전자,2020,86174499877.0,76287946081.0,9886553796.0,2555589641.0,2506054567.0,3258238363.0,5834304940.0,93272729747.0,175592014332.0,82319284585.0,72312133150.0,37153903629.0,45165380956.0,15099835746.0,34455000000.0,1518309517.0,45167543633.0,53578383441.0,5518524787.0,43857383439.0,13113013398.0,17180597324.0,18000000,-4325187978.0,996486990.0,3380953856.0,1165191786.0,103279881182.0,1473277312.0,1715878683.0,3015.0,54270000000.0,49554835746.0,80800975068.0,-240.288221
선도전기,007610,전기전자,2021,83343631638.0,82567019275.0,776612363.0,-10631752034.0,-9952912747.0,-12356561537.0,-9451664716.0,81156317629.0,167947855455.0,86791537826.0,65616550321.0,44153406423.0,42638131403.0,19596207308.0,31950000000.0,763439256.0,34311243708.0,53592978618.0,7389680278.0,35581885123.0,12524094263.0,15531205816.0,18000000,-6750748236.0,2456513588.0,1020061321.0,4916780720.0,102331305134.0,1539514067.0,430052487.0,3590.0,64620000000.0,51546207308.0,86028098570.0,-375.04156866666665
