corp,stock_code,sector,year,ebitda_margin,ebitda_to_interest_expense,debt_ratio,dependence_on_net_borrowings,net_borrowings_to_ebitda,revenue,cogs,selling_general_administrative_expenses,ebit,ebit_margin,ebitda_to_sales_revenue,total_assets,return_on_assets,ebitda,financial_expenses,corporate_tax,operating_cash_flow,free_cash_flow,total_liabilities,total_equity,total_borrowings,net_borrowings,borrowing_dependency,total_borrowings_to_ebitda,debt_to_net_income_ratio,total_assets_leverage,current_liabilities,working_capital,current_liabilities_ratio,quick_assets,quick_ratio,cash_and_cash_equivalents,short_term_borrowings,days_sales_outstanding,market_capitalization,minimum_wage,us_kor_exchange_avg,ppi_year,kor_usa_ir_diff,kr_standard_yield,rank,count,rating,paywellfare,worklifebal,culture,opportunity,manager,recommend,ceo,potential,crb_index_avg
BGF,027410,기타금융,2018,23.688222377627273,1706.9378883316524,7.199946074817164,0.779694163728404,24.24477505456536,220593918847,100510815182,90506761700,52254778048,23.688222377627273,23.688222377627273,1624874724266,2.905136014982552,52254778048,3061316900,47858860712,-29202164098,-58624890265,109132614534,1515742109732,25195000000,12669053393,1.5505810770354167,48.215686567181415,231.1895536397108,107.19994607481715,57669532526,257555093919,18.29474212607628,311932279761,540.8961475808165,12525946607,19368000000,21.751352304901737,769629274530,7530,1100.58,103.48,-0.29,1.75,NULL,2603,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45,198.61355172413795
BGF,027410,기타금융,2019,18.431530095825313,1693.9189089638876,8.449294054266648,0.33965035044845177,22.896933594394866,133387713837,58349044915,48683162016,24585396620,18.431530095825313,18.431530095825313,1657381460248,1.0568050841101555,24585396620,1451391592,7501375200,13834576609,14236776410,129126735585,1528254724663,20051999992,5629301938,1.2098602809880319,81.56061218751248,737.2228736642608,108.44929405426664,63739516570,255959860308,19.937328997148324,316783176222,496.99651530005326,14422698054,19224999992,32.52421388574398,536014029600,8350,1166.11,103.5,-0.56,1.25,NULL,2603,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45,187.79354406130267
BGF,027410,기타금융,2020,10.45516912141264,228.43019391842526,7.878820194263739,0.3302977408212365,33.93266260686065,154381286305,86830240244,52910048548,16140824575,10.45516912141264,10.45516912141264,1658204361732,1.0783323134142093,16140824575,7065976830,4237814936,21350276234,50581775921,121105273379,1537099088353,13650000000,5477011545,0.8231795980648928,84.56817021072172,677.2864415970821,107.87882019426374,68967757266,393806984579,14.903094536023707,460449326316,667.629838302708,8172988455,990000000,28.341562308697334,468533691945,8590,1180.01,103.03,0.29,0.5,NULL,2603,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45,157.42230916030533
BGF,027410,기타금융,2021,28.988668023542036,1438.3197801242118,14.361951827722761,-8.831979219112416,-401.9907493027251,150187760830,75712418716,36567861835,43537431399,28.988668023542036,28.988668023542036,1981622039251,1.8155343449146515,43537431399,3026964657,2478273042,1524674595,-165277449456,248858644100,1732763395151,32242851774,-175016446708,1.6270939228243007,74.05777221561256,691.7153890414124,114.36195182772275,114382730119,354380911888,24.400938952789332,418500601155,365.87743684698364,207259298482,18338263524,136.963037834346,506341824390,8720,1144.61,109.6,0.52,1,NULL,2603,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45,222.12499233716474
BGF,027410,기타금융,2022,8.941520574568687,189.76826813720615,11.603100151963107,-8.459233398024118,-421.4924793080331,434997439995,303418248317,70375399025,38895385596,8.941520574568687,8.941520574568687,1938013970903,1.350706517342758,38895385596,20496253656,18219070369,207458308,-5591146218,201490551514,1736523419389,15967679101,-163941125085,0.8239197106282988,41.05288803883748,769.7271169228784,111.6031001519631,71497959445,351288649925,16.91112203187799,363037963490,507.75989455932364,179908804186,1607679101,52.92586814856802,412060785255,9160,1292.2,118.78,0.23,3.25,NULL,2603,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45,304.6415576923077
BGF리테일,282330,유통업,2018,3.506652873969043,2633.287532344655,184.20042292243087,-2.0400127414636517,-14.932690010476598,5775862323457,4756223688566,825414394414,202539442162,3.506652873969043,3.506652873969043,1482568536572,10.399969999128066,202539442162,7691504998,29362559619,345797723349,670013673266,960905506895,521663029677,5094238750,-30244587047,0.34360898834255016,2.515183559123957,623.2091436653826,284.20042292243085,763691794052,-67619482598,109.71443361347791,592679163280,77.60711426992815,35338825797,5094238750,3.434143989327842,3525916824000,7530,1100.58,103.48,-0.29,1.75,NULL,2603,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45,198.61355172413795
BGF리테일,282330,유통업,2019,3.3817031505072204,988.2406682896329,248.92799341674672,-0.7511860398144976,-8.115664998547196,5946068219555,4889561258211,859796389576,201078376312,3.3817031505072204,3.3817031505072204,2172410899706,6.968159364763195,201078376312,20347106000,51007491609,532814863392,826724018676,1549815137631,622595762075,11729102540,-16318847406,0.5399117884000371,5.833099886285499,1023.8111399950934,348.92799341674674,950726347343,-206585695773,127.76164631473125,653266185676,68.71232584451735,28047949946,2294238750,3.4316512494061304,2929622067000,8350,1166.11,103.5,-0.56,1.25,NULL,2603,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45,187.79354406130267
BGF리테일,282330,유통업,2020,2.6386810234973934,695.2885898220047,240.2805144761646,-0.0694189897347248,-1.0091979042618646,6181269419288,5129513382786,889488788714,163103983178,2.6386810234973934,2.6386810234973934,2371169598247,5.175136671991752,163103983178,23458458195,47810302684,507341460255,773702352791,1674341687928,696827910319,22365272630,-1646041980,0.9432169106138418,13.712278630002645,1364.4563559157607,340.2805144761646,1003393099606,-174306978030,121.02398936538243,707541421663,70.51487816099478,24011314610,8453238750,3.209242196876282,2341969263000,8590,1180.01,103.03,0.29,0.5,NULL,2603,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45,157.42230916030533
BGF리테일,282330,유통업,2021,2.8389876337163718,823.8667595948801,220.81015910665624,-1.8202430347795506,-24.54877650199424,6781161259022,5604063733435,977487554382,192516329566,2.8389876337163718,2.8389876337163718,2596378756682,5.686491304823252,192516329566,23367410728,42328336723,538147659919,777236891554,1787059387273,809319369409,7182033880,-47260403475,0.2766173410376444,3.730610227293887,1210.3934326466137,320.8101591066563,1016456191788,-208127419592,125.74786729743354,699871209695,68.85404558989302,54442437355,6090000000,3.938048775809737,2514808323000,8720,1144.61,109.6,0.52,1,NULL,2603,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45,222.12499233716474
BGF리테일,282330,유통업,2022,3.3360880352824314,804.0895546588052,206.06177691637524,-8.699438380681226,-100.88052851269696,7615769467741,6229570187158,1133018580665,254068774008,3.3360880352824314,3.3360880352824314,2946235271626,6.569022674118882,254068774008,31597074298,53401235328,630424675866,728904577721,1983607627851,962627643775,12290000000,-256305922005,0.41714251805889424,4.8372729187149215,1024.9143747344026,306.06177691637527,1102246622172,-212346187848,123.86179168564017,765059078253,69.40906534559707,268595922005,12290000000,6.118040335808727,3638262213000,9160,1292.2,118.78,0.23,3.25,NULL,2603,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45,304.6415576923077
