corp,stock_code,sector,count,rating,paywellfare,worklifebal,culture,opportunity,manager,recommend,ceo,potential
엘에스일렉트릭,010120,전기전자,1398.78,2.72,2.62,2.89,2.57,2.62,2.21,1.18,1.22,1.11
삼화콘덴서공업,001820,전기전자,1398.78,2.72,2.62,2.89,2.57,2.62,2.21,1.18,1.22,1.11
케이씨티시,009070,운수창고업,614.67,2.94,2.94,2.97,2.62,2.87,2.35,1.44,1.45,1.35
케이티스카이라이프,053210,서비스업,897.75,2.86,2.75,3.07,2.73,2.62,2.24,1.34,1.36,1.23
서울도시가스,017390,전기가스업,310.88,3.6,3.48,3.97,3.08,2.99,2.67,2.64,2.58,2.48
신세계I&C,035510,서비스업,897.75,2.86,2.75,3.07,2.73,2.62,2.24,1.34,1.36,1.23
삼화전자공업,011230,전기전자,1398.78,2.72,2.62,2.89,2.57,2.62,2.21,1.18,1.22,1.11
티비에이치글로벌,084870,섬유의복,459.16,2.51,2.39,2.88,2.35,2.44,2.06,0.94,0.98,0.84
"효성 ITX",094280,서비스업,897.75,2.86,2.75,3.07,2.73,2.62,2.24,1.34,1.36,1.23
케이티,030200,통신업,1553.5,3.14,3.26,3.59,2.99,2.66,2.5,1.38,1.39,1.2
"F&F 홀딩스",007700,기타금융,676.32,2.75,2.69,2.92,2.54,2.59,2.25,1.29,1.3,1.14
엔피씨,004250,화학,548.9,2.82,2.75,3.03,2.56,2.69,2.19,1.27,1.29,1.17
에스제이엠홀딩스,025530,유통업,724.55,2.81,2.76,3.09,2.6,2.63,2.24,1.12,1.18,1.01
현대엘리베이터,017800,기계,397.84,2.75,2.67,2.97,2.64,2.64,2.12,1.12,1.13,1.01
아이에이치큐,003560,서비스업,897.75,2.86,2.75,3.07,2.73,2.62,2.24,1.34,1.36,1.23
케이씨씨,002380,화학,548.9,2.82,2.75,3.03,2.56,2.69,2.19,1.27,1.29,1.17
진양폴리우레탄,010640,화학,548.9,2.82,2.75,3.03,2.56,2.69,2.19,1.27,1.29,1.17
아모레퍼시픽그룹,002790,화학,548.9,2.82,2.75,3.03,2.56,2.69,2.19,1.27,1.29,1.17
엘브이엠씨,900140,유통업,724.55,2.81,2.76,3.09,2.6,2.63,2.24,1.12,1.18,1.01
금호석유화학,011780,화학,548.9,2.82,2.75,3.03,2.56,2.69,2.19,1.27,1.29,1.17
삼영전자공업,005680,전기전자,1398.78,2.72,2.62,2.89,2.57,2.62,2.21,1.18,1.22,1.11
에스케이바이오팜,326030,서비스업,897.75,2.86,2.75,3.07,2.73,2.62,2.24,1.34,1.36,1.23
에스제이엠,123700,운수장비,636.5,2.73,2.81,2.82,2.48,2.7,2.11,1.27,1.29,1.17
한신기계공업,011700,기계,397.84,2.75,2.67,2.97,2.64,2.64,2.12,1.12,1.13,1.01
엔에이치엔,181710,서비스업,897.75,2.86,2.75,3.07,2.73,2.62,2.24,1.34,1.36,1.23
디아이동일,001530,유통업,724.55,2.81,2.76,3.09,2.6,2.63,2.24,1.12,1.18,1.01
계룡건설산업,013580,건설업,572.96,2.91,2.78,2.9,2.7,2.88,2.27,1.67,1.69,1.58
롯데칠성음료,005300,음식료품,752.96,2.84,2.77,2.92,2.5,2.66,2.2,1.21,1.24,1.08
한국전력공사,015760,전기가스업,310.88,3.6,3.48,3.97,3.08,2.99,2.67,2.64,2.58,2.48
태양금속공업,004100,운수장비,636.5,2.73,2.81,2.82,2.48,2.7,2.11,1.27,1.29,1.17
