종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
005960,동부건설,KOSPI,건설업,7150,160,2.29,163555270450
005965,동부건설우,KOSPI,건설업,28450,700,2.52,6422075400
026960,동서,KOSPI,유통업,19110,90,0.47,1905267000000
002210,동성제약,KOSPI,의약품,6000,-10,-0.17,156605820000
102260,동성케미컬,KOSPI,서비스업,4530,40,0.89,225094467840
000640,동아쏘시오홀딩스,KOSPI,기타금융,83700,-1200,-1.41,531404018100
170900,동아에스티,KOSPI,의약품,57400,100,0.17,494484239200
028100,동아지질,KOSPI,건설업,13170,110,0.84,185073347820
282690,동아타이어,KOSPI,화학,11880,20,0.17,163148218200
001520,동양,KOSPI,비금속광물,1049,2,0.19,250379582087
001527,동양2우B,KOSPI,비금속광물,12400,-780,-5.92,3826255600
084670,동양고속,KOSPI,운수창고업,15570,30,0.19,45084009330
082640,동양생명,KOSPI,보험,3600,30,0.84,580890906000
001525,동양우,KOSPI,비금속광물,6140,-150,-2.38,3792868340
008970,동양철관,KOSPI,철강금속,1053,-11,-1.03,125186210370
092780,동양피스톤,KOSPI,운수장비,5310,140,2.71,69924522600
049770,동원F&B,KOSPI,음식료품,28300,400,1.43,546066046000
018500,동원금속,KOSPI,운수장비,2825,80,2.91,132082685725
006040,동원산업,KOSPI,기타금융,38200,-650,-1.67,1909337803000
030720,동원수산,KOSPI,"농업, 임업 및 어업",8460,20,0.24,39371190300
014820,동원시스템즈,KOSPI,화학,37700,600,1.62,1092971331400
014825,동원시스템즈우,KOSPI,화학,26650,50,0.19,7038558150
163560,동일고무벨트,KOSPI,화학,7020,20,0.29,97578000000
004890,동일산업,KOSPI,철강금속,107800,-46200,-30,261438177000
002690,동일제강,KOSPI,철강금속,2290,15,0.66,46487824400
000020,동화약품,KOSPI,의약품,10340,-50,-0.48,288811399800
000150,두산,KOSPI,기타금융,90800,200,0.22,1500364218000
000157,두산2우B,KOSPI,기타금융,86600,1200,1.41,77337090800
241560,두산밥캣,KOSPI,기계,58900,200,0.34,5904675877400
034020,두산에너빌리티,KOSPI,기계,18100,-10,-0.06,11594156742600
000155,두산우,KOSPI,기타금융,53200,500,0.95,212611778400
336260,두산퓨얼셀,KOSPI,전기전자,28900,200,0.7,1892768681400
33626K,두산퓨얼셀1우,KOSPI,전기전자,8720,140,1.63,116535824000
33626L,두산퓨얼셀2우B,KOSPI,전기전자,10560,60,0.57,31535328000
016740,두올,KOSPI,운수장비,4100,5,0.12,135573388000
192650,드림텍,KOSPI,전기전자,9110,30,0.33,614507607130
024090,디씨엠,KOSPI,철강금속,12310,10,0.08,140334000000
003160,디아이,KOSPI,의료정밀,7710,140,1.85,218193000000
