corp,concept_id,label_ko,label_en,class0,class1,class2,class3,class4,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
삼성전자,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,,168045388000000.0,149928539000000.0,128952892000000.0,119825474000000.0,115416724000000.0,111665648000000.0,91473041000000.0,86477110000000.0,80872950000000.0,75496388000000.0
삼성전자,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,,20217754000000.0,20236244000000.0,18468502000000.0,20703504000000.0,14891598000000.0,14760483000000.0,5344020000000.0,5396311000000.0,4785473000000.0,3980600000000.0
삼성전자,dart_DepositsForSeveranceInsurance,순확정급여자산,Net defined benefit assets,재무상태표 [abstract],자산 [abstract],비유동자산,순확정급여자산,,5851972000000.0,2809590000000.0,1355502000000.0,589832000000.0,562356000000.0,825892000000.0,557091000000.0,,,
삼성전자,ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred income tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,,5101318000000.0,4261214000000.0,4275000000000.0,4505049000000.0,5468002000000.0,5061687000000.0,5321450000000.0,5589108000000.0,4526595000000.0,4621780000000.0
삼성전자,dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,,7041145000000.0,6798952000000.0,5113279000000.0,7994050000000.0,12692847000000.0,7794634000000.0,1572027000000.0,1999038000000.0,2334818000000.0,3089524000000.0
삼성전자,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,,448424507000000.0,426621158000000.0,378235718000000.0,352564497000000.0,339357244000000.0,301752090000000.0,262174324000000.0,242179521000000.0,230422958000000.0,214075018000000.0
삼성전자,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,,78344852000000.0,88117133000000.0,75604351000000.0,63782764000000.0,69081510000000.0,67175114000000.0,54704095000000.0,50502909000000.0,52013913000000.0,51315409000000.0
삼성전자,entity00126380_udf_BS_20171018222617796_CurrentLiabilities,매입채무,Trade payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무,,10644686000000.0,13453351000000.0,9739222000000.0,8718222000000.0,8479916000000.0,9083907000000.0,6485039000000.0,6187291000000.0,7914704000000.0,8437139000000.0
삼성전자,ifrs-full_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,단기차입금,,5147315000000.0,13687793000000.0,16553429000000.0,14393468000000.0,13586660000000.0,15767619000000.0,12746789000000.0,11155425000000.0,8029299000000.0,6438517000000.0
삼성전자,entity00126380_udf_BS_20171018222642264_CurrentLiabilities,미지급금,Other payables,재무상태표 [abstract],부채 [abstract],유동부채,미지급금,,17592366000000.0,15584866000000.0,11899022000000.0,12002513000000.0,10711536000000.0,13899633000000.0,11525910000000.0,8864378000000.0,10318407000000.0,9196566000000.0
삼성전자,entity00126380_udf_BS_20171018222640707_CurrentLiabilities,선수금,Advances received,재무상태표 [abstract],부채 [abstract],유동부채,선수금,,1314934000000.0,1224812000000.0,1145423000000.0,1072062000000.0,820265000000.0,1249174000000.0,1358878000000.0,1343432000000.0,1427230000000.0,1706313000000.0
삼성전자,entity00126380_udf_BS_20171018222637261_CurrentLiabilities,예수금,Withholdings,재무상태표 [abstract],부채 [abstract],유동부채,예수금,,1298244000000.0,1294052000000.0,974521000000.0,897355000000.0,951254000000.0,793582000000.0,685028000000.0,992733000000.0,1161635000000.0,1176046000000.0
삼성전자,entity00126380_udf_BS_20171018222635206_CurrentLiabilities,미지급비용,Accrued expenses,재무상태표 [abstract],부채 [abstract],유동부채,미지급비용,,29211487000000.0,27928031000000.0,24330339000000.0,19359624000000.0,20339687000000.0,13996273000000.0,12527300000000.0,11628739000000.0,12876777000000.0,11344530000000.0
삼성전자,ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current income tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,,4250397000000.0,6749149000000.0,4430272000000.0,1387773000000.0,8720050000000.0,7408348000000.0,2837353000000.0,3401625000000.0,2161109000000.0,3386018000000.0
삼성전자,entity00126380_udf_BS_20171024141934989_CurrentLiabilities,유동성장기부채,Current portion of long-term liabilities,재무상태표 [abstract],부채 [abstract],유동부채,유동성장기부채,,1089162000000.0,1329968000000.0,716099000000.0,846090000000.0,33386000000.0,278619000000.0,1232817000000.0,221548000000.0,1778667000000.0,2425831000000.0
