company_name,2018,2019,2020,2021,2022
SNT모티브,14623136,14623136,14623136,14623136,14623136
SNT에너지,7297150,7506711,7506711,7506711,7506711
SNT홀딩스,16303886,16303886,16303886,16303886,16303886
SPC삼립,8629009,8629009,8629009,8629009,8629009
STX,19726902,19726902,19726902,28621454,28621454
STX엔진,23008904,23008904,23008904,23008904,23008904
STX중공업,28081731,28081731,28365976,28365976,28381042
SUN&L,12607989,12607989,12607989,12607989,12607989
TCC스틸,22342500,22342500,23000000,23500000,25386019
TYM,65388900,126004610,134954490,151529572,152353747
WISCOM,15025920,15326438,15326438,15326438,15326438
YG PLUS,58170704,58170704,59496045,63429410,63429410
가온전선,4160347,4160347,4160347,4160347,6358926
강남제비스코,6500000,6500000,6500000,6500000,6500000
강원랜드,213940500,213940500,213940500,213940500,213940500
경농,21691750,21691750,21691750,19522575,19522575
경동나비엔,12739510,12739510,13604730,14568592,14568592
경동도시가스,4717063,5895406,5895406,5895406,5895406
경동인베스트,2365023,2365023,2365023,2365023,2365023
경방,27415270,27415270,27415270,27415270,27415270
경인양행,40396365,40786365,41276365,41576365,41616365
경인전자,1570797,1570797,1570797,1570797,1570797
계룡건설산업,8930907,8930907,8930907,8930907,8930907
계양전기,32600000,32600000,32600000,32600000,32600000
고려산업,24939425,24939425,24939425,24939425,24939425
고려아연,18870000,18870000,18870000,18870000,19863158
고려제강,20000000,20000000,20000000,23000000,23000000
광동제약,52420851,52420851,52420851,52420851,52420851
광명전기,43337615,43337615,43337615,43337615,43337615
광전자,57943763,57943763,57943763,57943763,57943763
교촌에프앤비,0,0,24982540,24982540,24982540
국도화학,5810616,5810616,5810616,9010616,9010616
국동,13740480,27596156,38845864,54962976,55717048
국보,1682304,23966505,49376445,65408729,104570331
국제약품,18057107,18400520,18400520,19276090,20195149
극동유화,34869420,34869420,34869420,34869420,34869420
금강공업,4855964,24421719,26682886,29329357,29329357
금비,1000000,1000000,1000000,1000000,1000000
금양,43226540,44048135,44048135,48806004,58050037
금호건설,36035349,36035349,36633924,36633924,36953595
금호석유화학,30467691,30467691,30467691,30295844,29314312
금호에이치티,15831019,23608582,117904727,196541594,196140969
금호전기,6976569,10266660,11981820,19804181,27554191
금호타이어,287260287,287260287,287260287,287260287,287260287
기아,405363347,405363347,405363347,405363347,405363347
깨끗한나라,37240693,37240693,37240693,37240693,37240693
남광토건,9827396,9828611,9828901,9829014,9829014
남선알미늄,110179090,110179090,110179090,110179090,129079090
남성,36212160,36212160,36212160,36212160,36212160
남양유업,720000,720000,720000,720000,720000
남해화학,49678843,49678843,49678843,49678843,49678843
넥센,53543977,53543977,53543977,53543977,53543977
넥센타이어,97667877,97667877,97667877,97667877,97667877
넷마블,85265865,85744564,85845303,85953502,85953502
노루페인트,20000000,20000000,20000000,20000000,20000000
노루홀딩스,13291151,13291151,13291151,13291151,13291151
녹십자,11686538,11686538,11686538,11686538,11686538
녹십자홀딩스,47028210,47028210,47028210,47028210,47028210
농심,0,0,0,0,0
농심홀딩스,4637790,4637790,4637790,4637790,4637790
다스코,15400000,15400000,15400000,16876561,19396941
다우기술,44866617,44866617,44866617,44866617,44866617
다이나믹디자인,29402067,29402067,151569422,158289246,13941052
대교,84702850,84702850,84702850,84702850,84702850
대구백화점,10821611,10821611,10821611,10821611,10821611
대덕,78006972,78006972,33890150,33890150,33890150
대덕전자,0,0,49416925,49416925,49416925
대동,23728210,23728210,23728210,23728210,23932354
대림통상,15225000,15225000,15225000,15225000,15225000
대상,34648025,34648025,34648025,34648025,34648025
대상홀딩스,36212538,36212538,36212538,36212538,36212538
대성산업,45235478,45235478,45235478,45235478,45235478
대성에너지,27500000,27500000,27500000,27500000,27500000
대성홀딩스,16089459,16089459,16089459,16089459,16089459
대양금속,12317933,21039932,29565939,32168164,33362343
대우건설,415622638,415622638,415622638,415622638,415622638
대웅,58141980,58141980,58141980,58141980,58141980
대웅제약,11586575,11586575,11586575,11586575,11586575
대원강업,62000000,62000000,62000000,62000000,62000000
대원전선,68107171,68107171,71016967,71016967,71964534
대원제약,19098606,19662677,20243603,21224823,21964670
대원화성,41249152,41249152,41249152,41249152,41249152
대유에이텍,103311545,106915987,106915987,115094114,115341128
대유플러스,100682460,106626749,116662887,120998774,120998774
대창,91140499,91140499,91140499,91140499,91140499
대창단조,2000000,2857223,14286115,14286115,28572230
대한방직,5300000,5300000,5300000,5300000,5300000
대한유화,6500000,6500000,6500000,6500000,6500000
대한전선,856473009,856473009,856473009,856473009,1244473009
대한제강,24646734,24646734,24646734,24646734,24646734
대한제당,8840002,8840002,8969658,89696580,89696580
대한제분,1690000,1690000,1690000,1690000,1690000
대한항공,94844634,94844634,174209713,347820825,368220661
대한해운,24426504,24426504,244271090,319177460,319177460
더메디팜,24298019,35131699,50399433,81323413,106987815
더블유게임즈,18247298,18260502,18374502,18374502,18374502
더존비즈온,29672700,29672700,30118007,30382784,30382784
덕성,15680000,15680000,15680000,15680000,15680000
덕양산업,32564980,32564980,32564980,32564980,32564980
덴티움,11068830,11068830,11068830,11068830,11068830
도화엔지니어링,33720000,33720000,33720000,33720000,33720000
동국홀딩스,95432737,95432737,95432737,95432737,95432737
동방,33465588,33465588,39646458,47971766,47971766
동방아그로,13617577,13617577,13617577,13617577,13617577
동부건설,20867152,21824400,22702024,22738844,22906975
동서,99700000,99700000,99700000,99700000,99700000
동성케미컬,45444970,45444970,43993012,49689728,49689728
동아쏘시오홀딩스,6138294,6138297,6155346,6348802,6348913
동아에스티,8443868,8443868,8443868,8446325,8446588
동아지질,11500000,11500000,11500000,11500000,14052646
동아타이어,13733015,13733015,13733015,13733015,13733015
동양,238684063,238684063,238684063,238684063,238684063
동양고속,2895569,2895569,2895569,2895569,2895569
동양철관,118885290,118885290,118885290,118885290,118885290
동양피스톤,13168460,13168460,13168460,13168460,13168460
동원F&B,3859124,3859124,3859124,3859124,3859124
동원산업,3363200,3677641,3677641,3677641,49982665
동원수산,4653805,4653805,4653805,4653805,4653805
동원시스템즈,25618511,25618511,25618511,29188411,28991282
동일고무벨트,13000000,13350000,13650000,13900000,13900000
동일산업,2425215,2425215,2425215,2425215,2425215
동화약품,27931470,27931470,27931470,27931470,27931470
두산,18238102,16523835,16523835,16523835,16523835
두산에너빌리티,117146803,202146875,374637255,522220786,638308033
두올,27066680,27066680,27066680,33066680,33066680
드림텍,25152800,61065117,65862985,65343271,67405497
디아이,31496785,31496785,31496785,31496785,28300000
디아이동일,2378309,2421420,2465609,2510655,25568270
디아이씨,22467410,38888569,38888569,38888569,38888569
디와이,26319633,26319633,26319633,26319633,26319633
디와이파워,11041708,11041708,11041708,11041708,11041708
락앤락,54186600,54186600,53007638,51550414,50200444
롯데관광개발,65163174,69275662,69275662,69275662,72966610
롯데렌탈,11769200,11769200,11769200,36634063,36634063
롯데쇼핑,28288755,28288755,28288755,28288755,28288755
롯데에너지머티리얼즈,46110835,46110835,46110835,46110835,46110835
롯데웰푸드,6416717,6416717,6416717,6416717,9434574
롯데정밀화학,25800000,25800000,25800000,25800000,25800000
롯데정보통신,14286000,15396331,15396331,15396331,15396331
롯데지주,104909237,104909237,104909237,104909237,104909237
롯데칠성음료,799346,7993460,8975123,9278884,9278884
롯데케미칼,34275419,34275419,34275419,34275419,34275419
마니커,158472594,158472594,198472594,63511228,63511228
만호제강,4150000,4150000,4150000,4150000,4150000
메타랩스,44549792,52308986,63689937,73938653,24904689
명문제약,24540000,24540000,33953454,33953454,33953454
명신산업,0,0,40779120,52470133,52470133
모나미,18897307,18897307,18897307,18897307,18897307
모두투어리츠,7826815,7826815,7826815,7826815,7826815
모토닉,33000000,33000000,33000000,33000000,33000000
무림P&P,62368324,62368324,62368324,62368324,62368324
무림페이퍼,41609310,41609310,41609310,41609310,41609310
미래산업,634818400,843218400,18662929,4452007,4452007
미래아이앤지,103587319,129484148,129484148,129484148,139417924
미원상사,774940,5088000,4970000,4970000,4850000
미원에스씨,5221276,5267891,5100000,5100000,5100000
미원홀딩스,2331774,2331774,2320000,2320000,2320000
미창석유공업,1739672,1739672,1739672,1739672,1739672
바다로19호,15200004,15200004,15200004,15200004,15200004
방림,4231409,42314090,42314090,42314090,42314090
백광산업,44918407,44918407,44918407,44918407,44918407
백산,24200000,24200000,24200000,24200000,23405000
범양건영,24831812,24831812,24831982,24831982,24831982
벽산,68560000,68560000,68560000,68560000,68560000
보령,44200000,44200000,47620000,68690000,68690000
보해양조,96570546,126018258,127449373,138014479,139120129
부광약품,48870283,63531367,64837978,71063049,71063049
부산산업,1056000,1056000,1056000,1056000,1056000
비비안,6867945,6867945,26735890,29793990,29793990
비상교육,12996741,12996741,12996741,12996741,12996741
비에이치,31485852,32850890,33472688,33810072,34464379
비케이탑스,94336452,148320079,13071541,15097060,27248145
빙그레,9851241,9851241,9851241,9851241,9851241
사조대림,5960575,9164467,9164467,9164467,9164467
사조동아원,141144600,141144600,141144600,141144600,141144600
사조산업,5000000,5000000,5000000,5000000,5000000
삼부토건,24803131,136140315,137546368,148956269,197673375
삼성SDI,68764530,68764530,68764530,68764530,68764530
삼성공조,8126314,8126314,8126314,8126314,8126314
삼성물산,189690043,189690043,186887081,186887081,186887081
삼성바이오로직스,66165000,66165000,66165000,66165000,71174000
삼성에스디에스,77377800,77377800,77377800,77377800,77377800
삼성엔지니어링,196000000,196000000,196000000,196000000,196000000
삼성전기,74693696,74693696,74693696,74693696,74693696
삼성전자,5969782550,5969782550,5969782550,5969782550,5969782550
삼성중공업,630000000,630000000,630000000,880000000,880000000
삼성출판사,10000000,10000000,10000000,10000000,10000000
삼아알미늄,11000000,11000000,11000000,11000000,11000000
삼양사,10289803,10289803,10313449,10313449,10313449
삼양식품,7533015,7533015,7533015,7533015,7533015
삼양통상,3000000,3000000,3000000,3000000,3000000
삼양패키징,14209804,14209804,14209804,14209804,15788671
삼양홀딩스,8564271,8564271,8564271,8564271,8564271
삼영,34000000,34000000,34000000,34000000,34000000
삼영무역,16466623,17606686,18466948,18466948,18466948
삼영전자공업,20000000,20000000,20000000,20000000,20000000
삼익THK,21000000,21000000,21000000,21000000,21000000
삼익악기,90530915,90530915,90530915,90530915,90530915
삼일씨엔에스,12731947,12731947,12731947,12731947,12731947
삼일제약,6500000,6500000,6694896,13537283,13714450
삼진제약,13900000,13900000,13900000,13900000,13900000
삼천리,4055025,4055025,4055025,4055025,4055025
삼호개발,25000000,25000000,25000000,25000000,25000000
삼화왕관,2154379,2154379,2154379,2154379,2154379
삼화전기,6613820,6613820,6613820,6613820,6613820
삼화전자공업,10457940,10457940,10457940,10457940,12102700
삼화콘덴서공업,10395000,10395000,10395000,10395000,10395000
삼화페인트공업,26438751,26438751,26814737,27203469,27203469
상신브레이크,21471450,21471450,21471450,21471450,21471450
새론오토모티브,19200000,19200000,19200000,19200000,19200000
샘표,2875800,2875800,2875800,2875800,2875800
샘표식품,4568286,4568286,4568286,4568286,4568286
서연,23479844,23479844,23479844,23479844,23479844
서연이화,27028437,27028437,27028437,27028437,27028437
서울도시가스,5000000,5000000,5000000,5000000,5000000
서원,47474590,47474590,47474590,47474590,47474590
서흥,11569113,11569113,11569113,11569113,11569113
선도전기,18000000,18000000,18000000,18000000,18000000
선진,23779604,23779604,23779604,23779604,23779604
성문전자,19486857,19486857,19486857,19486857,19486857
성보화학,20020000,20020000,20020000,20020000,20020000
성신양회,24008482,24516073,24516073,24516073,24516073
성안,56857860,56857860,56857860,56857860,56857860
성창기업지주,69751600,69751600,69751600,69751600,69751600
세방,19308690,19308690,19308690,19308690,19308690
세방전지,14000000,14000000,14000000,14000000,14000000
세아베스틸지주,35862119,35862119,35862119,35862119,35862119
세아제강지주,4141657,4141657,4141657,4141657,4141657
세아특수강,8570000,8570000,8570000,8570000,8570000
세아홀딩스,4000000,4000000,4000000,4000000,4000000
세우글로벌,23690705,28705031,28705031,28705031,28705031
세원이앤씨,60990792000,60990792,69223286,145949072,215901277
세원정공,10000000,10000000,10000000,10000000,10000000
세종공업,20452479,22554412,27765096,27820961,27820961
세진중공업,38372720,38372720,56849456,56849456,56849456
셀트리온,125456133,128337853,134997805,137947128,140805210
솔루스첨단소재,0,30589758,30589758,30589758,35111195
솔루엠,0,33948362,36108362,50005551,50005551
송원산업,24000000,24000000,24000000,24000000,24000000
수산인더스트리,0,0,0,0,14286000
수산중공업,53985163,53985163,53985163,53985163,53985163
시디즈,2000000,2000000,2000000,2000000,2000000
신대양제지,4029782,4029782,4029782,4029782,4029782
신도리코,10080029,10080029,10080029,10080029,10080029
신라교역,16000000,16000000,16000000,16000000,16000000
신성이엔지,172993713,173730185,201433941,204217781,205848151
신성통상,143708390,143708390,143708390,143708390,143708390
신세계,9845181,9845181,9845181,9845181,9845181
신세계I&C,1720000,1720000,1720000,1720000,17200000
신세계인터내셔날,7140000,7140000,7140000,7140000,35700000
신세계푸드,3872480,3872480,3872480,3872480,3872480
신송홀딩스,11828858,11828858,11828858,11828858,11828858
신영와코루,900000,900000,900000,900000,9000000
신원,76738152,85042499,85042499,95568813,102586356
신풍,34958700,34958700,34958700,34958700,34958700
신풍제약,52984990,52984990,52984990,52984990,52984990
신흥,9600000,9600000,9600000,9500000,9500000
쌍방울,129124213,129124213,239359627,262592129,262592129
쌍용씨앤이,503859595,503859595,503859595,503859595,503859595
써니전자,29976480,33725245,34845011,34845011,34845011
쎌마테라퓨틱스,5512821,9249499,12332520,24553927,31696784
쏘카,0,0,0,0,32725652
씨아이테크,54212316,54212316,25070772,39951719,43610063
씨에스윈드,17285715,17285715,17285715,42171403,42171403
씨티알모빌리티,0,8400000,8610000,8610000,8610000
아남전자,77124820,77124820,77124820,77124820,77124820
아모레퍼시픽,58458490,58458490,58458490,58492759,58492759
아모레퍼시픽그룹,82458180,82458180,82458180,82458180,82458180
아세아,2191024,2191024,2191024,2191024,2191024
아세아시멘트,3895809,3895809,3895809,3895809,38958090
아세아제지,8956502,8956502,8956502,8956502,8956502
아센디오,197284650,197284650,62022534,80509196,84590828
아시아나항공,205235294,223235294,74411764,74411764,74411764
아이마켓코리아,35943340,35943340,35393340,33428840,33428840
아이에스동서,30853371,30892606,30892606,30892606,30892606
아이에이치큐,146235748,146235748,146235748,146235748,214095648
아주스틸,0,0,0,26452189,26452189
알루코,74524102,74524102,83207283,89791232,89969432
애경산업,26266135,26409935,26409935,26409935,26409935
애경케미칼,32040000,32040000,32040000,48648709,48648709
에넥스,59991641,59991641,59991641,59991641,59991641
에스엘,33865090,48203277,48203277,48203277,46448520
에스엠벡셀,50521414,64581636,64581636,65497372,111251760
에스원,37999178,37999178,37999178,37999178,37999178
에스제이엠,15604898,15604898,15604898,15604898,15604898
에스제이엠홀딩스,14934008,14934008,14934008,14934008,14934008
에스케이바이오팜,0,0,78313250,78313250,78313250
에쓰씨엔지니어링,25016587,25016587,25016587,31121109,31249355000
에어부산,52070000,52070000,82070000,193920000,116640000
에이블씨엔씨,27033459,27033459,27033459,27033459,27033459
에이엔피,82784868,82784868,21826409,22336409,40581153
에이프로젠,91901849,153725636,182946253,199155230,253668855
에이프로젠바이오로직스,107882194,241658328,398575767,398575767,585754688
에이플러스에셋,20000000,20000000,22607693,22607693,22607693
엔씨소프트,21939022,21954022,21954022,21954022,21954022
엔에이치엔,19565025,19565025,19565025,19565025,36017198
엔케이,79983352,77917190,77917190,79983352,79983352
엔피씨,36720000,36720000,36720000,36720000,36720000
엘브이엠씨,47869508,51120439,84348589,99455297,99455297
엘에스일렉트릭,30000000,30000000,30000000,30000000,30000000
엠씨넥스,17225347,17863482,17863482,17973432,17977732
영보화학,20000000,20000000,20000000,20000000,20000000
영원무역,44311468,44311468,44311468,44311468,44311468
영원무역홀딩스,13635592,13635592,13635592,13635592,13635592
영풍,1842040,1842040,1842040,1842040,1842040
영풍제지,22200000,22200000,22200000,22200000,22295000
영흥,85826509,85826509,92734032,101310372,101310372
오뚜기,3605237,3605237,3671981,3671981,4007830
오리엔트바이오,0,0,0,0,0
오리온,39533961,39536132,39536132,39536132,39536132
오리온홀딩스,62644293,62645422,62645422,62645422,62645422
와이투솔루션,56551602,58194201,58494201,159235637,159235637
용평리조트,48133333,48133333,48133333,48133333,48133333
우성,30900000,30900000,30900000,3090000,3090000
우신시스템,18314054,18314054,18314054,18314054,18314054
우진,17543127,20202234,20202234,20323614,20323614
우진아이엔에스,7622000,7622000,7622000,7622000,7622000
우진플라임,10000000,10000000,10000000,20000000,20000000
웅진,74166668,79378330,79378330,79927080,79927080
웅진씽크빅,34621165,134173248,115505985,115505985,115505985
원림,2200000,2200000,2200000000,2297970,2297970
웰바이오텍,36959438,43010106,45310327,58677244,66432104
윌비스,57000000,61210519,65157878,67236039,67236039
유니드,8889843,8889843,8889843,8889843,6767600
유니온,15611619,15611619,15611619,15611619,15611619
유니온머티리얼,42000000,42000000,42000000,42000000,42000000
유니켐,60370076,67272282,68710343,72688462,72921381
유니퀘스트,27190652,27237225,27307225,27342975,27355975
유수홀딩스,26041812,26041812,26041812,26041812,26041812
유엔젤,13195454,13195454,13195454,13195454,13195454
유유제약,6368587,6368587,8035247,17232351,17232351
유한양행,12209354,12777115,66856810,69972959,73231476
율촌화학,24800000,24800000,24800000,24800000,24800000
이건산업,10952635,10952635,10952635,10952635,10952635
이노션,20000000,20000000,20000000,20000000,20000000
이마트,27875819,27875819,27875819,27875819,27875819
이수페타시스,41268398,41268398,41268398,63246419,63246419
이아이디,242188696,548342542,723342542,940724905,115720209
이엔플러스,28612662,37221917,42310049,51499987,58337806
이연제약,16770000,16770000,17562390,17998577,17998577
이화산업,2800000,2800000,2800000,2800000,2800000
인디에프,58932995,58932995,58932995,70712995,70712995
인스코비,89723464,97236911,100909096,109848100,112008577
인지컨트롤스,15160128,15160128,15160128,15333213,15333213
인천도시가스,4374754,4374754,4374754,4374754,4374754
인터지스,29747874,29747874,29747874,29747874,29747874
인팩,10000000,10000000,10000000,10000000,10000000
일동제약,21591413,22670452,23803285,23803285,26803285
일동홀딩스,10490296,11002587,11540400,11540400,11540400
일성건설,53403640,54024880,54024880,54024880,54024880
일신방직,2400000,2400000,2400000,2400000,2400000
일양약품,19085664,19085664,19085664,19085664,19085664
일정실업,1200000,1200000,1200000,1200000,1200000
일진다이아,11277975,14202975,14202975,14202975,14202975
일진디스플,28314440,28314440,28314440,34468286,51513741
일진전기,37080390,37080390,37080390,37080390,37080390
일진홀딩스,49347483,49347483,49347483,49347483,49347483
잇츠한불,21929315,21929315,21929315,21929315,21929315
자이에스앤디,0,26782520,26782520,38782520,38782520
자화전자,17900000,17900000,17900000,17900000,20250944
제이에스코퍼레이션,13335601,13335601,13335601,13335601,13335601
제이준코스메틱,26524184,28382321,36909430,74422604,3849138
제일기획,115041225,115041225,115041225,115041225,115041225
제일약품,14704872,14704872,14704872,14704872,14704872
제일연마,10000000,10000000,10000000,10000000,10000000
제일파마홀딩스,15973355,15973355,15973355,15973355,15973355
제주항공,26356758,26356758,38499615,49759668,76993711
조광페인트,12800000,12800000,12800000,12800000,12800000
조광피혁,6649138,6649138,6649138,6649138,6649138
조선내화,0,0,0,0,0
조흥,600000,600000,600000,600000,600000
종근당,9879236,10370290,10885685,11426099,11988038
종근당바이오,5229489,5229489,5485962,5485962,5485962
종근당홀딩스,5009861,5009861,5009861,5009861,5009861
주연테크,98773270,106751992,54612089,59199244,59199244
지누스,12449140,14206749,14406749,15800450,18900676
지엠비코리아,19072280,19072280,19072280,19072280,19072280
지역난방공사,11578744,11578744,11578744,11578744,11578744
지투알,16567409,16567409,16567409,16567409,16567409
진도,12447744,12447744,12447744,12447744,12447744
진양산업,13000000,13000000,13000000,13000000,13000000
진양폴리우레탄,10000000,10000000,10000000,10000000,10000000
진양홀딩스,55895292,55895292,55895292,55895292,55895292
진원생명과학,21174063,21926157,44771008,77479055,77751599
참엔지니어링,49189958,52437510,55445022,55528564,58867419
청호ICT,8376352,8576351,10695682,15060392,18136345
체시스,24000000,24000000,24000000,32000000,32000000
카카오,83387773,86222636,88501998,445905990,445423689
카카오페이,0,0,0,131883080,133002827
컨버즈,12020900,30782409,13141388,17549275,36810230
케이비아이동국실업,53312072,66042072,66042072,87217977,100273016
케이씨,13554044,13554044,13554044,13554044,13554044
케이씨씨,10556513,10556513,8886471,8886471,8886471
케이씨씨글라스,0,0,15970512,15970512,15970512
케이씨티시,30000000,30000000,30000000,30000000,30000000
케이탑리츠,44212673,45096847,46224127,46224127,48060774
케이티,261111808,261111808,261111808,261111808,261111808
케이티스카이라이프,47821966,47821966,47821966,47821966,47821966
케이티앤지,137292497,137292497,137292497,137292497,137292497
코리아써키트,23620751,23620751,23620751,23620751,23620751
코스맥스,10049509,10049509,10049509,11349509,11349509
코스모화학,15840498,26110825,26110825,27860157,35008228
코아스,30907210,30907210,30907210,30907210,30907210
코오롱,12626426,12626426,12626426,12626426,12626426
코오롱글로벌,25210438,25210438,25210438,25210438,25210438
코오롱인더,26978840,26978840,26978840,27519091,27519091
코오롱플라스틱,38000000,38000000,38000000,38000000,38000000
코웨이,73799619,73799619,73799619,73799619,73799619
콘텐트리중앙,144068982,14406898,16385071,18297538,19262308
콤텍시스템,47851466,67851466,67851466,121051466,121051466
쿠쿠홀딩스,7112437,7112437,7112437,35562185,35562185
쿠쿠홈시스,4487466,22437330,22437330,22437330,22437330
크라운해태홀딩스,14847347,14847347,14847347,14847347,14847347
크래프톤,7455565,8045498,8557037,48967045,49081545
키다리스튜디오,15832549,16959266,18505691,34709306,36964766
태경비케이,27583100,27583100,27583100,27583100,27583100
태경산업,29228750,29228750,29228750,29228750,29228750
태경케미컬,11600000,11600000,11600000,11600000,11600000
태광산업,1113400,1113400,1113400000,1113400,1113400
