company_name,2018,2019,2020,2021,2022
태림포장,70805940,70805940,70805940,70805940,70805940
태양금속공업,36700000,36700000,36700000,36700000,36700000
태영건설,76400000,76400000,38899098,38899098,38899098
태평양물산,49911742,49911742,48149587,48149587,48636071
테이팩스,4717650,4717650,4717650,4717650,4717650
텔코웨어,9702706,9702706,9702706,9702706,9702706
토니모리,17640000,17640000,17640000,24054799,24054799
티비에이치글로벌,20856819,20856819,20856819,20856819,20856819
티에이치엔,18000000,18000000,18000000,18000000,18000000
티와이홀딩스,0,0,37500902,50929268,50929268
티웨이항공,46974812,46974812,110330279,110330279,160330279
티웨이홀딩스,75437074,76680855,76680856,109472167,109472167
티케이지휴켐스,40878588,40878588,40878588,40878588,40878588
팜스코,36727943,36727943,36727943,36727943,36727943
팜젠사이언스,11570324,11686025,14712933,15233413,15830890
팬오션,534569207,534569207,534569512,534569512,534569512
퍼시스,11500000,11500000,11500000,11500000,11500000
페이퍼코리아,73374054,89922517,37502728,40900159,47566810
평화산업,37403844,54902259,54902259,54902259,54902259
평화홀딩스,14625466,14625466,14625466,14625466,14625466
포스코스틸리온,6000000,6000000,6000000,6000000,6000000
포스코인터내셔널,123375149,123375149,123375149,123375149,123375149
포스코퓨처엠,59070000,60988220,60988220,77463220,77463220
풀무원,3809095,38090950,38120539,38120542,38120542
풍산,28024278,28024278,28024278,28024278,28024278
풍산홀딩스,7835167,7835167,7835167,10409528,10409528
프레스티지바이오파마,0,0,0,12019231,12019231
플레이그램,81238723,83578428,79439210,89717066,111441564
하나투어,11616185,11616185,13939185,13939185,16039185
하이브,0,0,35623760,41353387,41353387
하이스틸,1999944,1999944,1999944,19999440,20191471
하이트진로,70133611,70133611,70133611,70133611,70133611
하이트진로홀딩스,23206765,23206765,23206765,23206765,23206765
한국가스공사,92313000,92313000,92313000,92313000,92313000
한국공항,3166355,3166355,3166355,3166355,3166355
한국내화,22863632,22863632,22863632,41067062,41067062
한국단자공업,10415000,10415000,10415000,10415000,10415000
한국무브넥스,30450420,30450420,30450420,30450420,30450420
한국석유공업,655200,655200,655200,12694120,12694120
한국수출포장공업,4000000,4000000,4000000,4000000,4000000
한국앤컴퍼니,93020173,93020173,93020173,94935240,94935240
한국전력공사,641964077,641964077,641964077,641964077,641964077
한국전자홀딩스,46803136,46803136,46803136,46803136,46803136
한국카본,43960757,43960757,43960757,43960757,43960757
한국콜마,22346698,22881180,22881180,22881180,22881180
한국콜마홀딩스,17938966,17938966,18576719,18576719,18576719
한국타이어앤테크놀로지,123875069,123875069,123875069,123875069,123875069
한국항공우주,97475107,97475107,97475107,97475107,97475107
한국화장품,16068000,16068000,16068000,16068000,16068000
한독,13763533,13763533,13763533,13763533,13763533
한미글로벌,10957550,10957550,10957550,10957550,10957550
한미반도체,57223890,57223890,51501501,49459877,97339302
한미사이언스,63499267,64742860,66011149,67304611,68623684
한미약품,11385691,11612184,11843029,12078282,12317971
한샘,23533928,23533928,23533928,23533928,23533928
한섬,24630000,24630000,24630000,24630000,24630000
한세실업,40000000,40000000,40000000,40000000,40000000
한세엠케이,12909322,12909322,12909322,12909322,30106502
한세예스24홀딩스,40000000,40000000,40000000,40000000,40000000
한솔로지스틱스,27477425,27477425,27477425,27477425,27477425
한솔제지,23800576,23800576,23800576,23800576,23800576
한솔케미칼,11295195,11295195,11295195,11335195,11335195
한솔테크닉스,22109878,32109878,32109878,32109878,32109878
한솔피엔에스,20493012,20493012,20493012,20493012,20493012
한솔홀딩스,46359871,47183679,42008577,42008577,42008577
한솔홈데코,80565149,80565149,80565149,80565149,80565149
한신공영,11570702,11570702,11570702,11570702,11570702
한신기계공업,32446151,32446151,32446151,32446151,32446151
한온시스템,533800000,533800000,533800000,533800000,533800000
한올바이오파마,52240638,52240638,52240638,52240638,52240638
한익스프레스,12000000,12000000,12000000,12000000,12000000
한일시멘트,4144970,4144970,6926154,69261540,69261540
한일홀딩스,5995844,5994356,28815780,28815780,30832884
한전KPS,45000000,45000000,45000000,45000000,45000000
한전기술,38220000,38220000,38220000,38220000,38220000
한전산업,32600000,32600000,32600000,32600000,32600000
한진,11974656,11974656,14947628,14947628,14947628
한진중공업홀딩스,29529812,29529812,29529812,29529812,29529812
한진칼,59170458,59170458,66262510,66738873,66761796
한창,34458589,34790269,66790269,66790269,79395668
한컴라이프케어,0,0,0,27674406,27674406
한화,74958735,74958735,74958735,74958735,74958735
한화시스템,0,110230389,110230389,188919389,188919389
한화에어로스페이스,52040000,51560000,50630000,50630000,50630000
한화오션,107205752,107205752,107290669,107290669,107290669
해성디에스,17000000,17000000,17000000,17000000,17000000
해태제과식품,29116822,29116822,29116822,29116822,29116822
핸즈코퍼레이션,21863268,21863268,22263268,22263268,22263268
현대건설,111355765,111355765,111355765,111355765,111355765
현대글로비스,37500000,37500000,37500000,37500000,37500000
현대로템,85000000,85000000,109142000,109142000,109142000
현대리바트,20535282,20535282,20535282,20535282,20535282
현대모비스,97343863,95306694,95054694,94573094,94285094
현대미포조선,39942149,39942149,39942149,39942149,39942149
현대백화점,0,0,0,0,0
현대비앤지스틸,15078811,15078811,15078811,15078811,15078811
현대엘리베이터,27158266,27199334,40815191,40815191,40815191
현대오토에버,20652420,21000000,21000000,27423982,27423982
현대위아,27195083,27195083,27195083,27195083,27195083
현대자동차,213668187,213668187,213668187,213668187,213668187
현대제철,133445785,133445785,133445785,133445785,133445785
현대지에프홀딩스,97704482,97704482,97704482,97704482,97704482
현대코퍼레이션,13228966,13228966,13228966,13228966,13228966
현대코퍼레이션홀딩스,9100836,9100836,9100836,9100836,9100836
현대퓨처넷,112876596,112876596,112876596,112876596,110202945
현대홈쇼핑,12000000,12000000,12000000,12000000,12000000
형지엘리트,19154798,31154798,31154798,31154798,31154798
혜인,12712747,12712747,12712747,12712747,12712747
호전실업,8641975,8641975,8641975,10071450,9749984
호텔신라,39248121,39248121,39248121,39248121,39248121
화성산업,12450800,12450800,12450800,12450800,10150000
화승알앤에이,0,0,0,18993623,18993623
화승엔터프라이즈,60536670,60536670,60536670,60570805,60589276
화승인더스트리,55320000,55320000,55320000,55320000,55320000
화승코퍼레이션,64561210,64561210,69044875,50051252,50051252
화신,34920410,34920410,34920410,34920410,34920410
화천기공,2200000,2200000,2200000,2200000,2200000
환인제약,18600070,18600070,18600070,18600070,18600070
황금에스티,14000000,14000000,14000000,16000000,17000000
효성,21071025,21071025,21071025,21071025,21071025
효성 ITX,11558200,11558200,11558200,11558200,11558200
효성중공업,9324548,9324548,9324548,9324548,9324548
효성첨단소재,4479948,4479948,4479948,4479948,4479948
효성티앤씨,4327682,4327682,4327682,4327682,4327682
효성화학,3190126,3190126,3190126,3190126,3190126
후성,92606819,92606819,92606819,92606819,94352104
휠라홀딩스,61115070,61115070,60752222,60752222,60752222
휴비스,34500000,34500000,34500000,34500000,34500000
휴스틸,7534848,7621668,7621668,7837615,56188075
흥아해운,175643430,112112392,116732559,240424899,240424899
