id,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
702,오리엔트바이오,2630,"의약품 제조업","의약품 제조",1976-12-28,03월,장재진,http://www.orient.co.kr,경기도
703,조비,1550,"비료, 농약 및 살균, 살충제 제조업","복합비료(연초용,수도용,시판용,특수작물용),양액재배용 비료,완효성 비료,부직포 제조,무역",1976-12-28,12월,이승연,http://www.chobi.co.kr,서울특별시
704,한국공항,5430,"기타 운송관련 서비스업","항공기 지상조업,항공화물 상하역,장비대여,항공용역사업,항공기급유,항공화물 취급,보관,부정기헬기운송,여행알선,광업,먹는샘물 제조,농축산업",1976-12-28,12월,이수근,http://www.kas.co.kr,서울특별시
705,조광페인트,4910,"기타 화학제품 제조업","도료(우레탄,에나멜,락카,특수도료) 제조,도매",1976-12-27,12월,양성아,http://www.chokwangpaint.co.kr,부산광역시
706,삼천리,4690,"연료용 가스 제조 및 배관공급업","도시가스 공급/부동산 임대",1976-12-23,12월,"이찬의, 유재권",http://www.samchully.co.kr,서울특별시
707,성보화학,3080,"비료, 농약 및 살균, 살충제 제조업","완제농약(해비치과립,카스텔란),원제농약(슈퍼유나니,다이아톤) 제조,도매",1976-12-23,12월,윤정선,http://www.sbcc.kr,경기도
708,조흥,2600,"기타 식품 제조업","휘핑크림,인스턴트이스트,프루츠칵테일,크림치즈,견과류,건조과일 제조,판매/주택 신축,판매",1976-12-23,12월,김성태,http://www.choheung.co.kr,경기도
709,금양,1570,"기초 화학물질 제조업","발포제,사카린,OPTSA,베나졸,TCA 제조",1976-12-17,12월,류광지,http://www.kyc.co.kr,부산광역시
710,사조대림,3960,"수산물 가공 및 저장 처리업","게맛살,어육연제품,식용류,배합사료 제조",1976-09-16,12월,김상훈,http://dr.sajo.co.kr,서울특별시
711,비비안,2070,"봉제의복 제조업","여성내의류(스타킹,화운데이숀,란제리),카바링사 제조,수출입/부동산 매매,임대",1976-07-13,12월,손영섭,http://www.vivien.co.kr,서울특별시
712,SNT다이내믹스,3570,"자동차 신품 부품 제조업","자동차부품(동력전달장치 등),공작기계(CNC선반 등),사출성형기 제조",1976-07-08,12월,박재석,http://www.hisntd.com,경상남도
713,한신공영,4960,"건물 건설업","토목공사,건축공사,주택건설,유통업(백화점),문화교실,주차장",1976-07-07,12월,"최문규,선홍규(각자 대표이사)",http://www.hanshinc.com,경기도
714,농심,4370,"기타 식품 제조업","라면,스낵,유지 제조,도매,수출입",1976-06-30,12월,이병학,http://www.nongshim.com,서울특별시
715,삼영,3720,"플라스틱제품 제조업","합성수지(BOPP,캐파시타),PPC,랩,종이상자(카톤팩) 제조",1976-06-30,12월,"이석준, 조영한",http://www.sycc.co.kr,서울특별시
716,성신양회,4980,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트,레미콘 제조",1976-06-30,12월,한인호,http://www.sungshincement.co.kr,서울특별시
717,신라교역,4970,"어로 어업","원양어업(참치,명태,휠레트,연육,명란,새우),어획물 판매/직물 수출",1976-06-30,12월,김호운,http://www.sla.co.kr,서울특별시
718,신풍,2870,"기타 전문 도매업","마닐라판지 제조,도소매",1976-06-30,12월,정학헌,http://spinc.co.kr,경기도
719,종근당홀딩스,1630,"의약품 제조업","의약품(항생제,위궤양치료제,장기이식면역억제제,고지혈증치료제(로바이드)) 제조,도매",1976-06-30,12월,김태영,http://www.ckd-holdings.com,서울특별시
720,크라운해태홀딩스,5740,"기타 금융업","비스켓,쵸코렛,사탕,웨이퍼 제조,도매",1976-06-30,12월,윤석빈,http://www.crown.co.kr,서울특별시
721,한독,2390,"의약품 제조업","의약품(소화제,크라포란,라식스)제조,도매,부동산 임대",1976-06-30,12월,"김영진, 백진기",http://www.handok.co.kr,서울특별시
722,SG글로벌,1380,"자동차 신품 부품 제조업","자동차시트커버(Seat Trim Cover), 면사, 면ㆍ혼방사 등의 제조 및 판매",1976-06-29,12월,이의범,http://www.sgglobal.co.kr,충청남도
723,SK디스커버리,6120,"기타 금융업","화섬사(폴리에스테르원사(폴리에스터F,폴리에스터SF),폴리에스터직물,아세테이트),석유화학부문(TPA,DMT),섬유원료,직물,BOTTLE용CHIP,접착제,폴리우레탄 제조,",1976-06-29,12월,"최창원, 전광현",http://www.skdiscovery.com,경기도
724,샘표,7540,"기타 금융업","간장,된장,고추장 제조,가공,판매,무역",1976-06-29,12월,박진선,http://www.sempio.com,서울특별시
725,흥아해운,3280,"해상 운송업",외항화물운송업(케미컬탱커),1976-06-29,12월,이환구,http://www.heung-a.com,서울특별시
726,GS글로벌,1250,"상품 종합 도매업","수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대",1976-06-26,12월,이영환,http://www.gsgcorp.com,서울특별시
727,금호건설,2990,"건물 건설업","종합건설/여객운송,관광/부동산 임대,분양",1976-06-26,12월,서재환,http://www.kumhoenc.com,전라남도
728,삼부토건,1470,"토목 건설업","토목공사,건축공사,포장공사,건설업,분양사업/건설자재 제조",1976-06-26,12월,"이응근, 정창래",http://www.sambu.co.kr,서울특별시
729,삼화콘덴서공업,1820,"전자부품 제조업","콘덴서(축전기) 제조",1976-06-26,12월,"오영주, 박진",http://www.samwha.com,경기도
730,페이퍼코리아,1020,"펄프, 종이 및 판지 제조업","제지(신문용지,중질지),합판 제조,건설,석유류 판매",1976-06-26,12월,권육상,http://www.papercorea.co.kr,전라북도
731,동양,1520,"시멘트, 석회, 플라스터 및 그 제품 제조업","레미콘/건설공사/산업용 송풍기",1976-06-25,12월,정진학,http://www.tongyanginc.co.kr,서울특별시
732,한화,880,"기타 화학제품 제조업","화약,화공품,자동선반류,공작기계 제조,전자교환기,건설,정보통신,종합무역/임직원 및 개인대상 교육,세미나 및 워크샵 중계,동영상광고",1976-06-24,12월,"김동관, 김승모, 양기원",http://www.hanwhacorp.co.kr,서울특별시
733,JW중외제약,1060,"의약품 제조업","수액제,소화기궤양치료제,항생제,항암제 제조,도매",1976-06-14,12월,"대표이사 신영섭",http://www.jw-pharma.co.kr,경기도
734,영풍,670,"1차 비철금속 제조업","제1차 금속산업(아연괴,황산,카드뮴괴),건전지 제조,무역",1976-06-12,12월,"박영민, 배상윤",http://www.ypzinc.co.kr,서울특별시
735,백광산업,1340,"기초 화학물질 제조업","가성소다,합성염산 제조,판매",1976-06-10,12월,장영수,http://www.pkic.co.kr,전라북도
736,성창기업지주,180,"회사 본부 및 경영 컨설팅 서비스업","합판, 마루, 파티클보드, 우드칩, 포르말린 등 제조",1976-06-02,12월,우인석,http://www.sce.kr,부산광역시
737,한창,5110,"기계장비 및 관련 물품 도매업","소화기, 통신장비 유통",1976-06-01,12월,"최 승 환",http://www.hanchang.co.kr,부산광역시
738,삼화왕관,4450,"기타 금속 가공제품 제조업","납세용 일반병마개,알루미늄캡,플라스틱캡 제조,판매,금속인쇄,수출",1976-05-28,12월,고기영,http://www.samhwa.co.kr,경기도
739,KR모터스,40,"그외 기타 운송장비 제조업","이륜차(오토바이) 제조,도매",1976-05-25,12월,고재철,http://www.krmotors.com,경상남도
740,고려제강,2240,"1차 철강 제조업","PC강선,선재 2차제품,와이어로프,비드와이어,SC(Surpass Coat) Stand,각종선재 제조,도매",1976-05-25,12월,"이이문, 주종대 (각자대표)",http://www.kiswire.com,부산광역시
741,태양금속공업,4100,"자동차 신품 부품 제조업","자동차용 강력볼트,너트,전기전자제품용 나사,자전거부품,전해동박,도금도장설비 제조",1976-05-25,12월,"한우삼. 한하워드성(각자 대표이사)",http://www.taeyangmetal.com,경기도
742,SUN&L,2820,"나무제품 제조업","합판,가정용가구(선우드),MDF,제재목,하드보드 제조/부동산 임대",1976-05-22,12월,서성교,http://sunandl.com/,인천광역시
743,DRB동일,4840,"고무제품 제조업","고무벨트(V벨트,콘베이어벨트,평벨트),프라스틱제품 제조,판매",1976-05-21,12월,류영식,http://www.drbworld.com,부산광역시
744,넥센타이어,2350,"고무제품 제조업","타이어,후랩,고무제타이어(승용자동차용,래디알구조) 제조",1976-05-19,12월,"대표이사 회 장 강병중 대표이사 부회장 강호찬 대표이사 사 장 이현종",http://www.nexentire.com,경상남도
745,SG세계물산,4060,"상품 종합 도매업","피복류,봉제품,P.E제품 수출입,도매,제조/조경사업",1976-04-19,12월,이의범,http://www.sgsegye.com,서울특별시
746,롯데정밀화학,4000,"기초 화학물질 제조업","염소·셀룰로스계열, 암모니아 계열, 전자재료 등 화학제품 제조",1976-04-15,12월,김용석,http://www.lottefinechem.com,울산광역시
747,동화약품,20,"의약품 제조업","의약품 제조,판매,수출입",1976-03-24,12월,유준하,http://www.dong-wha.co.kr,서울특별시
748,DL,210,"기초 화학물질 제조업",지주회사,1976-02-02,12월,김종현,http://www.dlholdings.co.kr,서울특별시
749,LX인터내셔널,1120,"상품 중개업","전자,기계,화공,유류.금속,의류 수출입,도소매",1976-01-30,12월,윤춘성,http://www.lxinternational.co.kr,서울특별시
750,국제약품,2720,"의약품 제조업","항생제,안약,제약 제조,도매",1975-12-27,12월,"남영우,남태훈,안재만",http://www.kukjepharm.co.kr,경기도
751,태광산업,3240,"화학섬유 제조업","석유화학제품(PTA,AN),화섬사,직물 등",1975-12-27,12월,"조진환, 정철현 (각자 대표이사)",http://www.taekwang.co.kr,서울특별시
752,부산주공,5030,"자동차 신품 부품 제조업","자동차부품(엔진부품,조향장치부품,브레이장치부품,오토미셧부품) 제조,도매/부동산 임대",1975-12-26,12월,장세훈,http://www.pci21c.com,부산광역시
753,한일현대시멘트,6390,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트,시멘트반제품 제조,판매/콘도미니엄,스키장,종합레저관광산업,체육진흥사업,사업서비스",1975-12-26,12월,전근식,http://WWW.HANILHDCEMENT.COM,서울특별시
754,CS홀딩스,590,"기타 금융업","브랜드 수익, 자회사 배당",1975-12-22,12월,장원영,http://www.chosunwelding.com,경상북도
755,신성통상,5390,"기타 전문 도매업","의류,악세사리(모자,벨트,가방) 도매/의류 제조",1975-12-22,06월,"대표이사 염태순",http://www.ssts.co.kr,서울특별시
756,DB하이텍,990,"반도체 제조업","반도체 제조",1975-12-12,12월,조기석,http://www.dbhitek.co.kr,경기도
757,대림통상,6570,"기타 금속 가공제품 제조업","수전금구,비데,위생도기,샤워부스,타일,양식기,무역",1975-11-20,12월,"고은희, 손병국",http://www.dlt.co.kr,서울특별시
758,유유제약,220,"의약품 제조업","의약품 제조,판매",1975-11-18,12월,"유원상, 박노용(각자대표)",http://www.yuyu.co.kr,충청북도
759,강남제비스코,860,"기타 화학제품 제조업","도료(페인트,락카,신나,에나멜,바니쉬),안료 제조,판매",1975-11-12,12월,"황익준,김재현(각자대표이사)",http://www.jevisco.com,부산광역시
760,대신증권,3540,"금융 지원 서비스업","유가증권 위탁매매,인수주선,자기매매 기타 금융서비스",1975-10-01,12월,오익근,http://www.daishin.com,서울특별시
761,NH투자증권,5940,"금융 지원 서비스업","증권업,종합금융",1975-09-30,12월,정영채,http://www.nhqv.com,서울특별시
762,미래에셋증권,6800,"금융 지원 서비스업","유가증권매매,유가증권위탁매매,유가증권인수",1975-09-30,12월,"최현만, 이만열",http://securities.miraeasset.com,서울특별시
763,신일전자,2700,"기계장비 및 관련 물품 도매업","가정용 전기기구(선풍기,난로,세탁기),전자기구,연구기구 제조,수출입",1975-09-30,12월,정윤석,http://www.shinil.co.kr,충청남도
764,삼성제약,1360,"의약품 제조업","의약품(까스명수,쓸기담,에프킬라에어졸,액체우황청심원) 제조,도매",1975-07-04,12월,"김상재, 정성택",http://www.sspharm.co.kr,경기도
765,삼성화재해상보험,810,보험업,"손해보험의 원수,재보험,운용자산의 투자활동",1975-06-30,12월,홍원학,http://www.samsungfire.com,서울특별시
766,삼양식품,3230,"기타 식품 제조업","라면,스낵,유제품,장유,식용유,사료,향신료,건강음료(루이보스 티) 제조,도매",1975-06-30,12월,"김정수, 장재성",http://www.samyangfoods.com,서울특별시
767,한화손해보험,370,보험업,손해보험,1975-06-30,12월,나채범,http://www.hwgeneralins.com/,서울특별시
768,NI스틸,8260,"1차 철강 제조업","스틸파이프,철강재임가공 제조,도매",1975-06-28,12월,이창환,http://www.hcr4u.com,서울특별시
769,일동홀딩스,230,"의약품 제조업","의약품 제조,도매",1975-06-28,12월,박대창,http://www.ildong.com,서울특별시
770,대동,490,"특수 목적용 기계 제조업","경운기,트랙터,이앙기,바인더,수확기(콤바인),농업용엔진 및 부품 제조,판매",1975-06-27,12월,"김준식, 원유현",http://www.daedong.co.kr,대구광역시
771,오리온홀딩스,1800,"기타 금융업","자회사 관리 지주사업 등",1975-06-27,12월,허인철,http://www.oriongroup.co.kr,서울특별시
772,깨끗한나라,4540,"펄프, 종이 및 판지 제조업","펄프,판지원지,화장지 제조,수출입",1975-06-25,12월,"최현수, 김민환",http://www.kleannara.com,서울특별시
773,태원물산,1420,"자동차 신품 부품 제조업","자동차부품,워터펌프,인산정제석고,건축자재(불연내장재), 제조,수출입",1975-06-24,12월,남기영,http://www.twms.co.kr,서울특별시
774,코오롱,2020,"기타 금융업",지주회사,1975-06-23,12월,안병덕,http://www.kolon.com,경기도
775,삼성전자,5930,"통신 및 방송 장비 제조업","통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",1975-06-11,12월,"한종희, 경계현",http://www.samsung.com/sec,경기도
776,대유플러스,300,"통신 및 방송 장비 제조업","유,무선 통신장비",1975-06-09,12월,박상민,http://www.dayouplus.co.kr,광주광역시
777,BYC,1460,"봉제의복 제조업","메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",1975-06-02,12월,"김 대 환",http://home.byc.co.kr,서울특별시
778,KG모빌리티,3620,"자동차용 엔진 및 자동차 제조업","자동차,자동차부품,차륜,정비 제조/도소매",1975-05-29,12월,"곽재선, 정용원",http://www.kg-mobility.com,경기도
779,쌍용씨앤이,3410,"시멘트, 석회, 플라스터 및 그 제품 제조업",시멘트(크링카),1975-05-03,12월,"홍사승, 이현준 (각자)대표집행임원",http://www.ssangyongcement.co.kr,서울특별시
780,SPC삼립,5610,"기타 식품 제조업","빵,아이스크림,과자,케익,유산균음료,인스턴트식품,병조림,면류,식용유 제조,판매",1975-05-02,12월,황종현,http://www.spcsamlip.co.kr,경기도
781,흥국화재,540,보험업,손해보험,1974-12-05,12월,임규준,http://www.insurance.co.kr,서울특별시
782,우리종금,10050,"기타 금융업","종합금융,주택할부금융,부동산",1974-09-11,12월,김응철,http://wooriib.com,광주광역시
783,일양약품,7570,"의약품 제조업","일반의약품(원비디,영비천,아진탈,디세텔,노루모산),항암제(베타-이뮤난),전문의약품 제조,판매,수출입",1974-08-28,12월,"김동연, 정유석",http://www.ilyang.co.kr,경기도
784,한진,2320,"도로 화물 운송업","포장화물,택배산업,항만하역,고속버스사업,운수보관",1974-08-12,12월,노삼석,http://www.hanjin.com,서울특별시
785,한국수출포장공업,2200,"골판지, 종이 상자 및 종이용기 제조업","골판지상자,골판지원지 제조,판매",1974-06-28,12월,"대표이사 회장 허용삼 대표이사 사장 허정훈(각자대표이사)",http://www.keppack.co.kr,서울특별시
786,현대자동차,5380,"자동차용 엔진 및 자동차 제조업","자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",1974-06-28,12월,"정의선, 장재훈, 이동석(각자 대표이사)",http://www.hyundai.com,서울특별시
787,모나미,5360,"생활용품 도매업","BP153(BALL POINT PEN), P-3000(PLUS PEN), 유성매직, 보드마카, 네임펜, PARKER, WARTERMAN, 색연필",1974-06-26,12월,송하경,http://www.monami.com,경기도
788,한화솔루션,9830,"기초 화학물질 제조업","합성수지,유화부문(LDPE,LLDPE)제품 제조,플라스틱가공품(PVC),CA,무기화학제품,부동산업",1974-06-19,12월,"이구영, 김동관, 남이현",http://hcc.hanwha.co.kr,서울특별시
789,아세아,2030,"회사 본부 및 경영 컨설팅 서비스업","회사본부,지주회사 및 경영컨설팅 서비스업",1974-06-03,12월,"이훈범, 오기호",http://asiaholdings.co.kr,서울특별시
790,카프로,6380,"기초 화학물질 제조업","카프로락탐,유안비료 제조",1974-05-28,12월,권용대,http://www.hcccapro.co.kr,서울특별시
791,롯데지주,4990,"기타 금융업",지주회사,1974-02-16,12월,"신동빈,이동우",http://www.lotte.co.kr,서울특별시
792,대한방직,1070,"직물직조 및 직물제품 제조업","면사,화섬사,면직물 제조,판매,건설",1973-12-28,12월,"설 범, 김 인호",http://www.thtc.co.kr,서울특별시
793,서울식품공업,4410,"기타 식품 제조업","빵,스넥,마아가린,유지류,사료 제조,도매",1973-12-28,12월,서성훈,http://seoul-food.co.kr,충청북도
794,아이에이치큐,3560,"영화, 비디오물, 방송프로그램 제작 및 배급업","매니지먼트, 음반, 드라마 제작, 유료방송, 프로그램 공급, 광고대행",1973-12-18,12월,김형철,http://www.ihq.co.kr,서울특별시
795,LS네트웍스,680,"상품 종합 도매업","혁화,의류,등산용품 도매,제조/부동산 임대",1973-11-15,12월,문성준,http://www.lsnetworks.co.kr,경상남도
796,금호전기,1210,"전구 및 조명장치 제조업","형광등,백열전구,전구식현광등,실드빔(차량용전조) 제조,판매",1973-11-15,12월,이홍민,http://www.khe.co.kr,서울특별시
797,하이트진로홀딩스,140,"기타 금융업",지주회사,1973-09-19,12월,김인규,http://www.hitejinroholdings.com,서울특별시
798,노루홀딩스,320,"기타 금융업",지주사업,1973-08-10,12월,"한영재,김용기",http://www.norooholdings.co.kr,경기도
799,기아,270,"자동차용 엔진 및 자동차 제조업","승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",1973-07-21,12월,"송호성,최준영(각자 대표이사)",http://www.kia.co.kr,서울특별시
800,효성,4800,"기타 금융업","스판덱스,합성원사,나일론,폴리에스터,타이어코드지,PET병,수지제품,중전기제품(변압기,차단기),사무용기계,컴퓨터 제조/건축공사",1973-06-30,12월,"Hyun-Joon Cho, Kyoo-Young Kim",http://www.hyosung.com,서울특별시
801,CJ,1040,"기타 금융업",지주회사,1973-06-29,12월,"손경식, 김홍기",http://www.cj.net,서울특별시
802,두산,150,"기타 금융업","동박적층판 등 제조 및 판매, 유압기기 등 제조 및 판매, 지게차 제조 및 판매, IT 시스템 개발/운영 서비스 등, 연료전지 등",1973-06-29,12월,"박정원, 김민철, 문홍성",http://www.doosancorp.co.kr,서울특별시
803,휴스틸,5010,"1차 철강 제조업","강관(배관용,구조용,유정용) 제조,도매",1973-06-29,12월,박훈,http://www.husteel.com,서울특별시
804,DB손해보험,5830,보험업,"자동차보험,화재보험,해상보험,특종보험,장기보험",1973-06-28,12월,"김정남, 정종표",http://www.idbins.com,서울특별시
805,TYM,2900,"특수 목적용 기계 제조업","농기계,연초용필터,금속제양식기,철강압연 제조,도매,수출입/신문서적 수출입,판매",1973-06-26,12월,"김희용, 김도훈",http://tym.world,서울특별시
806,대웅,3090,"의약품 제조업","지주회사/의약품,화공약품,농예약품,위생용품,의료용구,식품,전기전자기구,부품 제조,판매",1973-06-26,12월,윤재춘,http://www.daewoong.com/,경기도
807,진양산업,3780,"플라스틱제품 제조업","합성수지,폴리우레탄스폰지 제조,도매,수출입",1973-06-26,12월,조영태,http://www.cyc1963.com,경상남도
808,영진약품,3520,"의약품 제조업","의약품(드링크제,항생제,영양수액제),의약부외품 제조,판매",1973-06-25,12월,이기수,http://www.yungjin.co.kr,서울특별시
809,케이씨씨,2380,"기타 화학제품 제조업","건축용단열재,내외장재,스레트,밤라이트,암면,석고보드,판유리 제조",1973-06-25,12월,"정몽진, 정재훈",http://www.kccworld.co.kr,서울특별시
810,롯데칠성음료,5300,"비알코올음료 및 얼음 제조업","청량음료,과채류음료,곡류음료,주류 제조,판매/자동차정비,연수원",1973-06-21,12월,"신동빈, 박윤기",http://company.lottechilsung.co.kr,서울특별시
811,일신방직,3200,"방적 및 가공사 제조업","면사,P/C혼방사,P/C혼방직물,화섬사 제조,수출",1973-05-23,12월,김정수,http://www.ilshin.co.kr,서울특별시
812,아모레퍼시픽그룹,2790,"기타 화학제품 제조업",지주회사,1973-04-30,12월,"서경배, 이상목",http://www.apgroup.com,서울특별시
813,제주은행,6220,"은행 및 저축기관","은행업무,외국환업무,신탁업무",1972-12-28,12월,박우혁,http://www.e-jejubank.com,제주특별자치도
814,한솔홀딩스,4150,"기타 금융업","지주회사,경영자문컨설팅",1972-05-17,12월,이재희,http://www.hansol.com,서울특별시
815,벽산,7210,"기타 비금속 광물제품 제조업","단열재, 천장재, 외장재, 내장재, 외단열, 바닥재 등",1972-01-04,12월,"김 성 식",http://www.byucksan.com,서울특별시
816,롯데손해보험,400,보험업,손해보험업,1971-04-16,12월,이은호,http://www.lotteins.co.kr,서울특별시
817,대한제분,1130,"곡물가공품, 전분 및 전분제품 제조업","소맥분,토코밀,프리믹스,밀가루조제품,제분부산물 제조/파스타 수입,판매",1970-11-25,12월,"이건영, 송인석",http://www.dhflour.co.kr,서울특별시
818,대상,1680,"기타 식품 제조업","전분,라이신,물엿,과당,포도당,MSG및 사료,조미료,항생제,핵산,커피 제조,도매/토목공사,건축공사",1970-04-01,12월,임정배,http://www.daesang.co.kr,서울특별시
819,LG,3550,"기타 금융업",지주회사,1970-02-13,12월,"구광모, 권봉석",http://www.lg.co.kr,서울특별시
820,동아쏘시오홀딩스,640,"기타 금융업","의약품(피로회복제/박카스,병원용의약품),비의약품(의료기기,염모제,가글제) 제조,도소매/화장품 생산",1970-02-10,12월,정재훈,http://www.donga.co.kr,서울특별시
821,코리안리,3690,"재 보험업","금융보험/부동산 임대",1969-12-22,12월,원종규,http://www.koreanre.co.kr,서울특별시
822,한국주철관공업,970,"1차 철강 제조업","수도용주철관,강관 제조",1969-12-12,12월,"김길출, 김태형, 이창훈 (각자대표제)",http://www.kcip.co.kr,부산광역시
823,한일홀딩스,3300,"시멘트, 석회, 플라스터 및 그 제품 제조업",지주사업,1969-11-20,12월,"허기호, 박지훈",http://www.hanil.com,서울특별시
824,엔피씨,4250,"플라스틱제품 제조업","산업용기프라스틱제품(플라스틱 파렛트,시트 파렛트) 제조,판매",1969-09-08,12월,최병민,http://www.npc.co.kr,경기도
825,세아제강지주,3030,"기타 금융업",경영컨설팅업,1969-05-13,12월,"이주성, 김태현",http://www.seahsteel.co.kr/company/holdings/,서울특별시
826,대한전선,1440,"절연선 및 케이블 제조업","전력선,통신케이블,적산계기,스텐레스압연제품,광케이블,초고압선,알루미늄 제조,도매/전기공사",1968-12-27,12월,송종민,http://www.taihan.com,경기도
827,대한제당,1790,"곡물가공품, 전분 및 전분제품 제조업","제당,가축용 배합사료,설탕,기능성감미료(자일로올리고당),외식산 제조,도소매/부동산 임대",1968-12-27,12월,강승우,http://www.ts.co.kr,인천광역시
828,삼양홀딩스,70,"기타 금융업","지주회사,경영자문컨설팅",1968-12-27,12월,"엄태웅, 이영준",http://www.samyang.com,서울특별시
829,세기상사,2420,"연료 소매업","극장(영화상영)/극영화,만화영화 제조/음식료품,일용잡화 소매/부동산 임대",1968-12-27,12월,조영준,http://www.daehancinema.co.kr,서울특별시
830,한국앤컴퍼니,240,"기타 금융업",비금융지주회사,1968-12-27,12월,"조현범, 안종선(각자 대표이사)",http://www.hankook-technologygroup.com,경기도
831,전방,950,"방적 및 가공사 제조업","면사,면혼방사,마혼방사,화섬사,염색사,자수사,소모사,면직물,면혼방직물,화섬직물,특수가공직물 제조,판매,수출",1968-10-21,12월,조덕현,http://www.chonbang.co.kr,서울특별시
832,대한항공,3490,"항공 여객 운송업","여객운송,화물운송,항공기 제조,판매,정비수리/기내식 제조판매,면세품 판매",1966-03-18,12월,"조원태, 우기홍",http://www.koreanair.com,서울특별시
833,디아이동일,1530,"상품 중개업","면사,화섬사,면포,혼방포,스포츠웨어용 신합섬 제조,도매,수출",1964-01-04,12월,"서태원, 손재선",http://www.dong-il.com,서울특별시
834,유한양행,100,"의약품 제조업","의약품(삐콤씨, 안티푸라민, 렉라자, 로수바미브, 코푸시럽 등), 생활용품(유한락스, 해피홈, 유한젠), 동물약품",1962-11-01,12월,"대표이사 조욱제",http://www.yuhan.co.kr,서울특별시
835,CJ대한통운,120,"도로 화물 운송업","Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",1956-07-02,12월,"강신호,민영학(각자대표)",http://www.cjlogistics.com,서울특별시
836,경방,50,"종합 소매업","섬유류(면사,면혼방사,면직물,면혼방직물,화섬사,화섬직물) 제조,도매,수출입",1956-03-03,12월,"김준, 김담",http://www.kyungbang.co.kr,서울특별시
837,유수홀딩스,700,"회사 본부 및 경영 컨설팅 서비스업",지주사업,1956-03-03,12월,송영규,http://www.eusu-holdings.com,서울특별시
838,한진중공업홀딩스,3480,"연료용 가스 제조 및 배관공급업",지주회사,1956-03-03,12월,"조남호, 조원국",http://www.hhic-holdings.com,경기도
