id,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
589,유성기업,2920,"자동차 신품 부품 제조업","철도차량부품(피스턴링,실린더라이너,발브가이드,타펫트),자동차부품,주강,주물 제조,판매",1988-10-10,12월,류현석(대표이사),http://www.ypr.co.kr,충청남도
590,한일철강,2220,"1차 철강 제조업","강관류,철판류,금속관류,건축자재,자동차부품 제조,도매",1988-10-07,12월,엄정헌,http://www.hanilsteel.co.kr,서울특별시
591,삼익악기,2450,"악기 제조업","피아노,기타,현악기,전자악기,동 부분품 제조,임대,도매",1988-09-30,12월,"김종섭, 이형국",http://www.samick.co.kr,충청북도
592,화성산업,2460,"건물 건설업","아파트 건설",1988-09-29,12월,"이종원,최진엽",http://www.hwasung.com,대구광역시
593,DN오토모티브,7340,"일차전지 및 축전지 제조업","자동차용 밧데리",1988-09-24,12월,"김상헌 김인환",http://www.dnautomotive.com,경상남도
594,보해양조,890,"알코올음료 제조업","주류(소주,매취,실비우스,위스키) 제조,음료 도매",1988-09-23,12월,"임지선, 조영석",http://www.bohae.co.kr,전라남도
595,상상인증권,1290,"금융 지원 서비스업","유가증권 매매",1988-09-23,12월,임태중,http://www.sangsanginib.com,서울특별시
596,혜인,3010,"기계장비 및 관련 물품 도매업","건설기계,산업용 기계장비(진공흡인차,세정차),스테거크레인,비상용발전기,해상용엔진 도소매/창고",1988-09-20,12월,원경희,http://www.haein.com,서울특별시
597,금강공업,14280,"1차 철강 제조업","건설가설재,강관,거푸집 제조,판매",1988-09-10,12월,"전장열, 전재범 (각자 대표이사)",http://www.kumkangkind.com,부산광역시
598,플레이그램,9810,"기타 전문 도매업","유연성 산업용 포장재(FIBC) 제조 판매",1988-08-31,12월,김재욱,http://nk-ms.com,서울특별시
599,율촌화학,8730,"플라스틱제품 제조업","연포장재,필름,골판지상자,합성수지,플라스틱일반성형제품 제조",1988-08-30,12월,"송녹정,신동윤",http://www.youlchon.com,서울특별시
600,신원,9270,"봉제의복 제조업","여성,남성의류,스웨터,의복관련 악세사리,사카린,망초 제조,판매,수출입/섬유의류 도매/신용카드업/의류전문 물류대행 및 임대사업",1988-08-24,12월,박정주,http://www.sw.co.kr,서울특별시
601,동방,4140,"기타 운송관련 서비스업","육상운송,해상운송,항만화물하역,보관,창고,물류사업",1988-08-10,12월,"김형곤, 박창기",http://www.dongbang.co.kr,서울특별시
602,한국쉘석유,2960,"석유 정제품 제조업","윤활유,그리스 제조,도매",1988-08-10,12월,"라머스 예룬 피터",http://www.shell.co.kr,부산광역시
603,부광약품,3000,"의약품 제조업","의약품,치약,의약부외품(부광탁스,레가론,부광안티프라그) 제조",1988-08-05,12월,"이우현,유희원(각자대표이사)",http://www.bukwang.co.kr,서울특별시
