STAT_CODE,STAT_NAME,ITEM_CODE1,ITEM_NAME1,ITEM_CODE2,ITEM_NAME2,ITEM_CODE3,ITEM_NAME3,ITEM_CODE4,ITEM_NAME4,UNIT_NAME,TIME,DATA_VALUE
902Y006,"9.1.1.3. 국제 주요국 중앙은행 정책금리",US,미국,NULL,NULL,NULL,NULL,NULL,NULL,"% ",201801,1.375
902Y006,"9.1.1.3. 국제 주요국 중앙은행 정책금리",US,미국,NULL,NULL,NULL,NULL,NULL,NULL,"% ",201802,1.375
902Y006,"9.1.1.3. 국제 주요국 중앙은행 정책금리",US,미국,NULL,NULL,NULL,NULL,NULL,NULL,"% ",201803,1.625
902Y006,"9.1.1.3. 국제 주요국 중앙은행 정책금리",US,미국,NULL,NULL,NULL,NULL,NULL,NULL,"% ",201804,1.625
902Y006,"9.1.1.3. 국제 주요국 중앙은행 정책금리",US,미국,NULL,NULL,NULL,NULL,NULL,NULL,"% ",201805,1.625
902Y006,"9.1.1.3. 국제 주요국 중앙은행 정책금리",US,미국,NULL,NULL,NULL,NULL,NULL,NULL,"% ",201806,1.875
902Y006,"9.1.1.3. 국제 주요국 중앙은행 정책금리",US,미국,NULL,NULL,NULL,NULL,NULL,NULL,"% ",201807,1.875
902Y006,"9.1.1.3. 국제 주요국 중앙은행 정책금리",US,미국,NULL,NULL,NULL,NULL,NULL,NULL,"% ",201808,1.875
902Y006,"9.1.1.3. 국제 주요국 중앙은행 정책금리",US,미국,NULL,NULL,NULL,NULL,NULL,NULL,"% ",201809,2.125
902Y006,"9.1.1.3. 국제 주요국 중앙은행 정책금리",US,미국,NULL,NULL,NULL,NULL,NULL,NULL,"% ",201810,2.125
902Y006,"9.1.1.3. 국제 주요국 중앙은행 정책금리",US,미국,NULL,NULL,NULL,NULL,NULL,NULL,"% ",201811,2.125
902Y006,"9.1.1.3. 국제 주요국 중앙은행 정책금리",US,미국,NULL,NULL,NULL,NULL,NULL,NULL,"% ",201812,2.375
902Y006,"9.1.1.3. 국제 주요국 중앙은행 정책금리",US,미국,NULL,NULL,NULL,NULL,NULL,NULL,"% ",201901,2.375
902Y006,"9.1.1.3. 국제 주요국 중앙은행 정책금리",US,미국,NULL,NULL,NULL,NULL,NULL,NULL,"% ",201902,2.375
902Y006,"9.1.1.3. 국제 주요국 중앙은행 정책금리",US,미국,NULL,NULL,NULL,NULL,NULL,NULL,"% ",201903,2.375
902Y006,"9.1.1.3. 국제 주요국 중앙은행 정책금리",US,미국,NULL,NULL,NULL,NULL,NULL,NULL,"% ",201904,2.375
902Y006,"9.1.1.3. 국제 주요국 중앙은행 정책금리",US,미국,NULL,NULL,NULL,NULL,NULL,NULL,"% ",201905,2.375
902Y006,"9.1.1.3. 국제 주요국 중앙은행 정책금리",US,미국,NULL,NULL,NULL,NULL,NULL,NULL,"% ",201906,2.375
902Y006,"9.1.1.3. 국제 주요국 중앙은행 정책금리",US,미국,NULL,NULL,NULL,NULL,NULL,NULL,"% ",201907,2.375
902Y006,"9.1.1.3. 국제 주요국 중앙은행 정책금리",US,미국,NULL,NULL,NULL,NULL,NULL,NULL,"% ",201908,2.125
902Y006,"9.1.1.3. 국제 주요국 중앙은행 정책금리",US,미국,NULL,NULL,NULL,NULL,NULL,NULL,"% ",201909,1.875
