id,stock_code,jobp_rating,jobp_paywellfare,jobp_worklifebal,jobp_culture,jobp_opportunity,jobp_manager,jobp_recommend,jobp_ceo,jobp_potential,jobp_cnt,blind_rating,blind_cnt,blind_opportunity,blind_worklifebal,blind_paywellfare,blind_culture,blind_manager,corp
47,058850,2.7,2.5,3.2,2.7,2.4,2.4,0.23,0.37,0.06,1157,2.6,281,2.1,3.3,2.2,2.3,2,KTcs
48,093050,3.4,2.6,4.1,3.7,3.2,2.8,0.57,0.53,0.21,1779,3,664,2.8,3.5,3.1,2.5,2,LF
49,003550,3.1,3,3.1,3.2,3,2.5,0.48,0.5,0.21,6340,1.7,33,1.8,1.7,1.6,1.7,1.5,LG
50,034220,3.1,3.5,2.7,2.9,3.1,2.6,0.42,0.5,0.21,3567,3,3691,2.9,3,2.9,2.8,2.3,LG디스플레이
51,051900,3.2,3,3.6,3.2,2.9,2.6,0.53,0.54,0.31,1088,2.2,1152,2.1,2.9,1.8,2.2,1.6,LG생활건강
52,373220,3.6,3.1,3.5,3.6,3.8,3.1,0.66,0.76,0.67,233,3.8,1741,3.9,3.8,3.1,3.8,3.1,LG에너지솔루션
53,032640,3.2,3.2,3.3,3.2,2.9,2.7,0.51,0.54,0.26,2037,3.4,1516,2.8,4,2.9,3.5,2.5,LG유플러스
54,011070,3.4,3.6,3,3.3,2.9,3,0.53,0.62,0.41,2773,3.2,1780,3,2.9,3.1,3.1,2.9,LG이노텍
55,066570,3.1,3,3.1,3.2,3,2.5,0.48,0.5,0.21,6340,2.3,6671,2.2,2.9,2,2.3,1.8,LG전자
56,037560,2.7,2.9,2.8,2.8,2.8,2.3,0.24,0.37,0.11,480,2.6,245,2.3,3.4,2.4,2.7,2,LG헬로비전
57,051910,3.5,3.3,3.5,3.4,3.4,2.9,0.64,0.61,0.45,2102,3.1,3045,3.2,3.4,2.6,3,2.3,LG화학
58,006260,3,3,2.8,2.8,2.5,2.7,0.43,0.64,0.25,1183,3.7,15,3.4,4.1,3.1,3.1,3,LS
59,000680,3,2.8,3.7,3.2,2.9,2.4,0.45,0.35,0.11,179,3,43,2.3,4.1,2.3,2.6,2.3,LS네트웍스
60,229640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LS전선아시아
61,108320,2.7,2.8,2.3,2.7,2.9,2.2,0.36,0.49,0.4,268,3.3,720,3.6,3.2,3.1,3.2,2.4,LX세미콘
62,001120,3.1,3.4,3.1,2.9,3.1,2.5,0.44,0.45,0.16,306,3.5,238,3.5,3.8,3.6,3.6,2.6,LX인터내셔널
63,108670,3.2,3.4,3.6,3.2,3,2.4,0.47,0.38,0.14,653,2.9,838,2.5,3.7,3,2.8,1.9,LX하우시스
64,035420,4,4.1,3.5,3.8,3.5,3.2,0.84,0.68,0.57,1578,3.7,3044,3.9,3.4,3.7,3.6,2.9,NAVER
65,034310,3.3,3.5,3.6,3.2,2.4,2.6,0.56,0.45,0.29,518,0,0,0,0,0,0,0,NICE
66,010060,3.4,3.1,3.6,3.1,3,2.7,0.59,0.5,0.14,59,3,360,3.1,3.7,2.6,2.8,2.2,OCI홀딩스
67,005490,3.3,3.6,3.1,2.9,3.2,2.5,0.56,0.43,0.19,1573,2.2,2737,2.2,2.3,2.4,1.8,1.5,POSCO홀딩스
68,010950,1.9,1.6,2.6,2.4,1.7,2,0.14,0.21,0.14,14,3.4,377,2.8,3.7,3.8,2.8,2.2,S-Oil
69,034120,3.2,3,2.8,3,2.5,2.6,0.57,0.45,0.19,528,3.6,174,3.2,3.4,3.9,3.1,2.7,SBS
70,005090,3.5,4.5,3.5,4,3.5,3,0.5,0.5,0.5,2,3.1,79,3.1,2.7,3.3,2.5,2.4,SGC에너지
71,001380,2.6,3,2.6,2,2.7,2.2,0.28,0.39,0.08,119,2.3,49,2.2,3.1,1.7,1.9,1.7,SG글로벌
