corp,stock_code,sector,year,revenue,cost_of_sales,gross_profit,operating_income,net_income,ebit,ebitda,total_equity,total_assets,total_liabilities,current_assets,current_liabilities,non_current_liabilities,short_borrowing,long_borrowing,cash_and_equivalents,retained_earnings,ppe,intangible_assets,accounts_receivable,inventory,accounts_payable,outstanding_shares,cash_flow_operating,tangible_assets,selling_general_administrative_expenses,cash_flow_investing,cash_flow_financing,long_term_assets,interest,tax,stock_price,borrowings,net_liabilities,fixed_assets,cash_flow_per_share,minimum_wage,us_kor_exchange_avg,ppi_year,kor_usa_ir_diff,total_rank,simple_total_rank,count,rating,paywellfare,worklifebal,culture,opportunity,manager,recommend,ceo,potential
BGF,027410,기타금융,2018,220593918847.0,100510815182.0,120083103665.0,29473341965.0,47204820813.0,52254778048.0,52254778048.0,1515742109732.0,1624874724266.0,109132614534.0,315224626445.0,57669532526.0,51463082008.0,20410981086.0,2288912096.0,12525946607.0,650872181482.0,196524611117.0,30436903926.0,13145797384.0,3292346684.0,2853451783.0,190738358,-29202164098.0,196524611117.0,90506761700.0,29422726167.0,-3719220910.0,1309650097821.0,3061316900.0,47858860712.0,8070.0,22699893182.0,96606667927.0,226961515043.0,-153.1006369363838,7530,1100.58,103.48,-0.2916,,,2603.0,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45
BGF,027410,기타금융,2019,133387713837.0,58349044915.0,75038668922.0,26355506906.0,17515291535.0,24585396620.0,24585396620.0,1528254724663.0,1657381460248.0,129126735585.0,319699376878.0,63739516570.0,65387219015.0,26393127002.0,20561002863.0,14422698054.0,672348760433.0,196153387372.0,23553592571.0,11885837081.0,2916200656.0,3741330171.0,191433582,13834576609.0,196153387372.0,48683162016.0,-402199801.0,-11535625361.0,1337682083370.0,1451391592.0,7501375200.0,5600.0,46954129865.0,114704037531.0,219706979943.0,72.26828472028487,8350,1166.11,103.5,-0.5625,,,2603.0,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45
BGF,027410,기타금융,2020,154381286305.0,86830240244.0,67551046061.0,14640997513.0,17880953455.0,16140824575.0,16140824575.0,1537099088353.0,1658204361732.0,121105273379.0,462774741845.0,68967757266.0,52137516113.0,18924775301.0,4069959196.0,8172988455.0,688692452034.0,54835791920.0,12667210365.0,11987416014.0,2325415529.0,8105344981.0,191433582,21350276234.0,54835791920.0,52910048548.0,-29231499687.0,2413975710.0,1195429619887.0,7065976830.0,4237814936.0,4895.0,22994734497.0,112932284924.0,67503002285.0,111.52837454611281,8590,1180.01,103.03,0.2917,,,2603.0,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45
BGF,027410,기타금융,2021,150187760830.0,75712418716.0,74475342114.0,37907480279.0,35977028709.0,43537431399.0,43537431399.0,1732763395151.0,1981622039251.0,248858644100.0,468763642007.0,114382730119.0,134475913981.0,30598510386.0,4639996477.0,207259298482.0,744290812770.0,117609920160.0,207224927432.0,56356635531.0,50263040852.0,28334629429.0,191433582,1524674595.0,117609920160.0,36567861835.0,166802124051.0,29977049525.0,1512858397244.0,3026964657.0,2478273042.0,5290.0,35238506863.0,41599345618.0,324834847592.0,7.964509565516044,8720,1144.61,109.6,0.5208,,,2603.0,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45
BGF,027410,기타금융,2022,434997439995.0,303418248317.0,131579191678.0,61203792653.0,26176881012.0,38895385596.0,38895385596.0,1736523419389.0,1938013970903.0,201490551514.0,422786609370.0,71497959445.0,129992592069.0,23740161964.0,6018329497.0,179908804186.0,762765362124.0,131437458495.0,177739416335.0,63075663436.0,59748645880.0,20542053839.0,191433582,207458308.0,131437458495.0,70375399025.0,5798604526.0,-33324626259.0,1515227361533.0,20496253656.0,18219070369.0,4305.0,29758491461.0,21581747328.0,309176874830.0,1.0837090641703606,9160,1292.2,118.78,0.2292,,,2603.0,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45
BGF리테일,282330,유통업,2018,5775862323457.0,4756223688566.0,1019638634891.0,189516685804.0,154186683020.0,202539442162.0,202539442162.0,521663029677.0,1482568536572.0,960905506895.0,696072311454.0,763691794052.0,197213712843.0,157362692115.0,0.0,35338825797.0,160313848097.0,486125142793.0,50785549949.0,54342857209.0,103393148174.0,521468994022.0,34567812,345797723349.0,486125142793.0,825414394414.0,-324215949917.0,-14980971250.0,786496225118.0,7691504998.0,29362559619.0,204000.0,157362692115.0,925566681098.0,536910692742.0,10003.45996295629,7530,1100.58,103.48,-0.2916,,,2603.0,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45
BGF리테일,282330,유통업,2019,5946068219555.0,4889561258211.0,1056506961344.0,196623293754.0,151377053549.0,201078376312.0,201078376312.0,622595762075.0,2172410899706.0,1549815137631.0,744140651570.0,950726347343.0,599088790288.0,329322675239.0,9434863790.0,28047949946.0,261246580495.0,549816981097.0,48663894886.0,55903650506.0,90874465894.0,533833415394.0,34567812,532814863392.0,549816981097.0,859796389576.0,-293909155284.0,-246196602606.0,1428270248136.0,20347106000.0,51007491609.0,169500.0,338757539029.0,1521767187685.0,598480875983.0,15413.612622980014,8350,1166.11,103.5,-0.5625,,,2603.0,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45
BGF리테일,282330,유통업,2020,6181269419288.0,5129513382786.0,1051756036502.0,162204243583.0,122711267434.0,163103983178.0,163103983178.0,696827910319.0,2371169598247.0,1674341687928.0,829086121576.0,1003393099606.0,670948588322.0,333156915998.0,13912033880.0,24011314610.0,335710622447.0,591452944612.0,37913280592.0,54348467536.0,121544699913.0,571497857208.0,34567812,507341460255.0,591452944612.0,889488788714.0,-266360892536.0,-245000807978.0,1542083476671.0,23458458195.0,47810302684.0,135500.0,347068949878.0,1650330373318.0,629366225204.0,14676.701558519237,8590,1180.01,103.03,0.2917,,,2603.0,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45
BGF리테일,282330,유통업,2021,6781161259022.0,5604063733435.0,1177097525587.0,199441703668.0,147642852239.0,192516329566.0,192516329566.0,809319369409.0,2596378756682.0,1787059387273.0,808328772196.0,1016456191788.0,770603195485.0,385887987940.0,1092033880.0,54442437355.0,445675687507.0,614077692952.0,33984640650.0,73163133684.0,108457562501.0,506202443689.0,34567812,538147659919.0,614077692952.0,977487554382.0,-239089231635.0,-268623346281.0,1788049984486.0,23367410728.0,42328336723.0,145500.0,386980021820.0,1732616949918.0,648062333602.0,15567.883206463863,8720,1144.61,109.6,0.5208,,,2603.0,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45
BGF리테일,282330,유통업,2022,7615769467741.0,6229570187158.0,1386199280583.0,252407573570.0,193538863026.0,254068774008.0,254068774008.0,962627643775.0,2946235271626.0,1983607627851.0,889900434324.0,1102246622172.0,881361005679.0,442117469404.0,0.0,268595922005.0,600078132187.0,690462607488.0,37698599585.0,127653656964.0,124841356071.0,526378150123.0,34567812,630424675866.0,690462607488.0,1133018580665.0,-98479901855.0,-317632966757.0,2056334837302.0,31597074298.0,53401235328.0,210500.0,442117469404.0,1715011705846.0,728161207073.0,18237.332344494353,9160,1292.2,118.78,0.2292,,,2603.0,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45
