corp,stock_code,sector,year,ebitda_margin,ebitda_to_interest_expense,debt_ratio,dependence_on_net_borrowings,net_borrowings_to_ebitda,revenue,cogs,selling_general_administrative_expenses,ebit,ebit_margin,ebitda_to_sales_revenue,total_assets,return_on_assets,ebitda,financial_expenses,corporate_tax,operating_cash_flow,free_cash_flow,total_liabilities,total_equity,total_borrowings,net_borrowings,borrowing_dependency,total_borrowings_to_ebitda,debt_to_net_income_ratio,total_assets_leverage,current_liabilities,working_capital,current_liabilities_ratio,quick_assets,quick_ratio,cash_and_cash_equivalents,short_term_borrowings,days_sales_outstanding,average_accounts_receivable_per_sales_turnover,market_capitalization,minimum_wag,uskor_exchange_average,PPI_year,kor_usa_ir_diff,kr_standard_yield,rank,count,rating,paywellfare,worklifebal,culture,opportunity,manager,recommend,ceo,potential,crb_index_avg
BGF,027410,기타금융,2018,23.688222377627273,17.069378883316524,0.06716370985664644,0.014976091932956586,0.19469887644828296,220593918847.0,100510815182.0,90506761700.0,52254778048.0,23.688222377627273,0.23688222377627272,1624874724266.0,2.905136014982552,52254778048.0,3061316900.0,47858860712.0,-29202164098.0,-58624890265.0,109132614534.0,1515742109732.0,22699893182.0,10173946575.0,0.014976091932956586,0.43440799157444354,2.311895536397108,1.0719994607481715,57669532526.0,257555093919.0,0.1829474212607628,311932279761.0,5.408961475808166,12525946607.0,20410981086.0,21.751352304901737,0.05959274604082668,769629274530.0,7530,1100.58,103.48,-0.29,1.75,,2603.0,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45,198.61355172413795
BGF,027410,기타금융,2019,18.431530095825313,16.939189089638877,0.07791008810106896,0.030724020745529837,1.3232014237482739,133387713837.0,58349044915.0,48683162016.0,24585396620.0,18.431530095825313,0.18431530095825313,1657381460248.0,1.0568050841101555,24585396620.0,1451391592.0,7501375200.0,13834576609.0,14236776410.0,129126735585.0,1528254724663.0,46954129865.0,32531431811.0,0.030724020745529837,1.90983820967945,7.372228736642607,1.0844929405426664,63739516570.0,255959860308.0,0.19937328997148324,316783176222.0,4.969965153000532,14422698054.0,26393127002.0,32.52421388574398,0.08910743530340817,536014029600.0,8350,1166.11,103.5,-0.56,1.25,,2603.0,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45,187.79354406130267
BGF,027410,기타금융,2020,10.45516912141264,2.2843019391842527,0.07303398554114593,0.014959825733576378,0.9182768806593018,154381286305.0,86830240244.0,52910048548.0,16140824575.0,10.45516912141264,0.1045516912141264,1658204361732.0,1.0783323134142093,16140824575.0,7065976830.0,4237814936.0,21350276234.0,50581775921.0,121105273379.0,1537099088353.0,22994734497.0,14821746042.0,0.014959825733576378,1.4246319566979124,6.772864415970821,1.0787882019426374,68967757266.0,393806984579.0,0.14903094536023706,460449326316.0,6.67629838302708,8172988455.0,18924775301.0,28.341562308697334,0.07764811591423927,468533691945.0,8590,1180.01,103.03,0.29,0.5,,2603.0,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45,157.42230916030533
BGF,027410,기타금융,2021,28.988668023542036,14.383197801242117,0.1255833045710684,0.020336594691238368,-3.9511010661724777,150187760830.0,75712418716.0,36567861835.0,43537431399.0,28.988668023542036,0.28988668023542036,1981622039251.0,1.8155343449146515,43537431399.0,3026964657.0,2478273042.0,1524674595.0,-165277449456.0,248858644100.0,1732763395151.0,35238506863.0,-172020791619.0,0.020336594691238368,0.8093841490108988,6.9171538904141245,1.1436195182772275,114382730119.0,354380911888.0,0.24400938952789333,418500601155.0,3.6587743684698366,207259298482.0,30598510386.0,136.963037834346,0.3752411995461535,506341824390.0,8720,1144.61,109.6,0.52,1.0,,2603.0,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45,222.12499233716474
BGF,027410,기타금융,2022,8.941520574568687,1.8976826813720615,0.10396754334031828,0.017136821265255724,-3.8603631362492896,434997439995.0,303418248317.0,70375399025.0,38895385596.0,8.941520574568687,0.08941520574568686,1938013970903.0,1.350706517342758,38895385596.0,20496253656.0,18219070369.0,207458308.0,-5591146218.0,201490551514.0,1736523419389.0,29758491461.0,-150150312725.0,0.017136821265255724,0.7650905372194167,7.6972711692287845,1.116031001519631,71497959445.0,351288649925.0,0.1691112203187799,363037963490.0,5.077598945593237,179908804186.0,23740161964.0,52.92586814856802,0.14500237848922745,412060785255.0,9160,1292.2,118.78,0.23,3.25,,2603.0,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45,304.6415576923077
BGF리테일,282330,유통업,2018,3.506652873969043,26.33287532344655,0.6481356397302273,0.30165582600790175,0.602469647469454,5775862323457.0,4756223688566.0,825414394414.0,202539442162.0,3.506652873969043,0.03506652873969043,1482568536572.0,10.399969999128066,202539442162.0,7691504998.0,29362559619.0,345797723349.0,670013673266.0,960905506895.0,521663029677.0,157362692115.0,122023866318.0,0.30165582600790175,0.7769483831654596,6.2320914366538265,2.8420042292243086,763691794052.0,-67619482598.0,1.097144336134779,592679163280.0,0.7760711426992815,35338825797.0,157362692115.0,3.434143989327842,0.009408613669391348,3525916824000.0,7530,1100.58,103.48,-0.29,1.75,,2603.0,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45,198.61355172413795
BGF리테일,282330,유통업,2019,3.3817031505072204,9.88240668289633,0.7134079182905693,0.544105115492566,1.545216322022078,5946068219555.0,4889561258211.0,859796389576.0,201078376312.0,3.3817031505072204,0.033817031505072204,2172410899706.0,6.968159364763195,201078376312.0,20347106000.0,51007491609.0,532814863392.0,826724018676.0,1549815137631.0,622595762075.0,338757539029.0,310709589083.0,0.544105115492566,1.684703970870405,10.238111399950935,3.489279934167467,950726347343.0,-206585695773.0,1.2776164631473126,653266185676.0,0.6871232584451735,28047949946.0,329322675239.0,3.4316512494061304,0.009401784244948303,2929622067000.0,8350,1166.11,103.5,-0.56,1.25,,2603.0,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45,187.79354406130267
BGF리테일,282330,유통업,2020,2.6386810234973934,6.952885898220047,0.7061248124831884,0.4980698171505727,1.980685137011265,6181269419288.0,5129513382786.0,889488788714.0,163103983178.0,2.6386810234973934,0.026386810234973936,2371169598247.0,5.175136671991752,163103983178.0,23458458195.0,47810302684.0,507341460255.0,773702352791.0,1674341687928.0,696827910319.0,347068949878.0,323057635268.0,0.4980698171505727,2.12789990235391,13.644563559157607,3.402805144761646,1003393099606.0,-174306978030.0,1.2102398936538243,707541421663.0,0.7051487816099479,24011314610.0,333156915998.0,3.209242196876282,0.008792444375003513,2341969263000.0,8590,1180.01,103.03,0.29,0.5,,2603.0,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45,157.42230916030533
BGF리테일,282330,유통업,2021,2.8389876337163718,8.238667595948801,0.6882891730160139,0.47815489959493934,1.7273214444439986,6781161259022.0,5604063733435.0,977487554382.0,192516329566.0,2.8389876337163718,0.02838987633716372,2596378756682.0,5.686491304823252,192516329566.0,23367410728.0,42328336723.0,538147659919.0,777236891554.0,1787059387273.0,809319369409.0,386980021820.0,332537584465.0,0.47815489959493934,2.0101153117368797,12.103934326466138,3.2081015910665625,1016456191788.0,-208127419592.0,1.2574786729743355,699871209695.0,0.6885404558989302,54442437355.0,385887987940.0,3.938048775809737,0.010789174728245855,2514808323000.0,8720,1144.61,109.6,0.52,1.0,,2603.0,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45,222.12499233716474
BGF리테일,282330,유통업,2022,3.3360880352824314,8.040895546588052,0.6732685766660669,0.45928191680659697,0.6829707746514975,7615769467741.0,6229570187158.0,1133018580665.0,254068774008.0,3.3360880352824314,0.033360880352824314,2946235271626.0,6.569022674118882,254068774008.0,31597074298.0,53401235328.0,630424675866.0,728904577721.0,1983607627851.0,962627643775.0,442117469404.0,173521547399.0,0.45928191680659697,1.7401487889656162,10.249143747344027,3.0606177691637524,1102246622172.0,-212346187848.0,1.2386179168564018,765059078253.0,0.6940906534559708,268595922005.0,442117469404.0,6.118040335808727,0.016761754344681443,3638262213000.0,9160,1292.2,118.78,0.23,3.25,,2603.0,2.91,2.82,2.89,2.8,2.62,2.32,1.5,1.54,1.45,304.6415576923077
