id,corp,stock_code,sector,main_product,listing_date,settlement_month,representative_name,homepage,region,rank,predicted_rank
78,동원F&B,49770,"기타 식품 제조업","참치캔,음료,냉동식품 제조,판매",2000-11-23,12월,김성용,http://www.dongwonfnb.com,서울특별시,A+,NULL
79,동원산업,6040,"기타 금융업",지주회사,1989-03-07,12월,"박문서,민은홍",http://www.dongwon.com,서울특별시,AA-,NULL
80,동원시스템즈,14820,"플라스틱제품 제조업","포장용 플라스틱제품 제조 외",1994-03-29,12월,"장성학,조점근,서범원",http://dongwonsystems.com/,충청남도,A+,NULL
81,두산,150,"기타 금융업","동박적층판 등 제조 및 판매, 유압기기 등 제조 및 판매, 지게차 제조 및 판매, IT 시스템 개발/운영 서비스 등, 연료전지 등",1973-06-29,12월,"박정원, 김민철, 문홍성",http://www.doosancorp.co.kr,서울특별시,BBB,NULL
82,두산에너빌리티,34020,"일반 목적용 기계 제조업","기관,터어빈,선박용엔진,주단조품,제강제품 제조/종합건설",2000-10-25,12월,"박지원, 정연인, 박상현",http://https://www.doosanenerbility.com/kr,경상남도,BBB,NULL
83,롯데렌탈,89860,"운송장비 임대업","렌터카, 카셰어링(그린카), 중고차매매, 일반렌탈(측정기,OA, 리프트 등)",2021-08-19,12월,최진환,http://www.lotterental.com/,경기도,A+,NULL
84,롯데쇼핑,23530,"종합 소매업","백화점(의류,식품 및 잡화),할인점 운영/전자상거래",2006-02-09,12월,"김상현(김 사무엘 상현), 정준호, 강성현",http://www.lotteshoppingir.com/,서울특별시,AA-,NULL
85,롯데웰푸드,280360,"기타 식품 제조업","껌,캔디,초코,비스켓,빙과",2017-10-30,12월,"신동빈, 이영구, 이창엽",http://www.lottewellfood.com,서울특별시,AA,NULL
86,롯데지주,4990,"기타 금융업",지주회사,1974-02-16,12월,"신동빈,이동우",http://www.lotte.co.kr,서울특별시,AA-,NULL
87,롯데칠성음료,5300,"비알코올음료 및 얼음 제조업","청량음료,과채류음료,곡류음료,주류 제조,판매/자동차정비,연수원",1973-06-21,12월,"신동빈, 박윤기",http://company.lottechilsung.co.kr,서울특별시,AA,NULL
88,롯데케미칼,11170,"기초 화학물질 제조업","폴리프로필렌,고밀도폴리에틸렌,에틸렌글리콜,벤젠,에틸렌옥사이드,합성지,부산물 제조",1991-05-30,12월,"신동빈,김교현,이영준,황진구",http://www.lottechem.com,서울특별시,AA,NULL
89,마니커,27740,"도축, 육류 가공 및 저장 처리업","닭고기,햄,계육가공제품,계육,육가공제품 제조,판매,유통/양계관련사업/부동산임대/수출입대행",2002-10-29,12월,안정원,http://www.maniker.co.kr,경기도,JB,NULL
90,무림페이퍼,9200,"펄프, 종이 및 판지 제조업","지류,아트지,백상지 제조",1990-06-09,12월,이도균,http://www.moorim.co.kr,경상남도,A-,NULL
91,사조산업,7160,"어로 어업","원양어업(참치,명태,오징어),육가공,참치통조림,장류 제조/냉동냉장 창고운영/부동산 임대/컴퓨터,소프트웨어 개발,도매/팝콘,구운김 도매",1989-07-25,12월,"이창주, 김치곤 (각자대표)",http://www.sajo.co.kr,서울특별시,A-,NULL
92,삼성SDI,6400,"일차전지 및 축전지 제조업","2차전지, 전자재료 제조 판매",1979-02-27,12월,최윤호,http://www.samsungsdi.co.kr,경기도,AA,NULL
93,삼성물산,28260,"기타 전문 도매업","도소매, 건설, 남자용 정장 제조업 등",2014-12-18,12월,"고정석, 오세철, 정해린",http://www.samsungcnt.com,서울특별시,AA+,NULL
94,삼성바이오로직스,207940,"기초 의약물질 및 생물학적 제제 제조업",바이오의약품,2016-11-10,12월,"임존종보 (Rim John Chongbo)",http://www.samsungbiologics.com,인천광역시,AA-,NULL
95,삼양사,145990,"기타 식품 제조업",설탕,2011-12-05,12월,"최낙현, 강호성",http://www.samyangcorp.com,서울특별시,AA-,NULL
96,삼양식품,3230,"기타 식품 제조업","라면,스낵,유제품,장유,식용유,사료,향신료,건강음료(루이보스 티) 제조,도매",1975-06-30,12월,"김정수, 장재성",http://www.samyangfoods.com,서울특별시,A,NULL
97,삼양패키징,272550,"플라스틱제품 제조업","PET 용기 및 아셉틱 OEM",2017-11-29,12월,김재홍,http://www.samyangpackaging.co.kr/,서울특별시,A-,NULL
98,삼양홀딩스,70,"기타 금융업","지주회사,경영자문컨설팅",1968-12-27,12월,"엄태웅, 이영준",http://www.samyang.com,서울특별시,AA-,NULL
99,삼천리,4690,"연료용 가스 제조 및 배관공급업","도시가스 공급/부동산 임대",1976-12-23,12월,"이찬의, 유재권",http://www.samchully.co.kr,서울특별시,AA+,NULL
100,삼화페인트공업,390,"기타 화학제품 제조업","건축용페인트,공업용페인트,분체도료 등 제조",1993-09-10,12월,"류기붕,배맹달(각자대표)",http://www.samhwa.com,경기도,BBB,NULL
101,서흥,8490,"기타 화학제품 제조업","의약품(하드캅셀,건강보조식품,소프트캅셀),건강보조식품,인삼제품 제조,판매",1990-03-27,12월,양주환,http://www.suheung.com,충청북도,A-,NULL
102,세아베스틸지주,1430,"1차 철강 제조업","특수강,철도용품,자동차부품 제조,수출입",1991-03-12,12월,"이태성, 김수호",http://www.seahbesteel.co.kr,서울특별시,A+,NULL
103,세아홀딩스,58650,"1차 철강 제조업","지주회사/투자 및 경영컨설팅/부동산 임대",2001-07-30,12월,"이태성, 양영주",http://www.seahholdings.co.kr,서울특별시,A,NULL
104,신세계,4170,"종합 소매업","백화점,할인점(E마트)",1985-08-19,12월,손영식,http://www.shinsegae.com,서울특별시,AA,NULL
105,신세계푸드,31440,음식점업,"단체급식, 식자재유통, 외식",2010-04-29,12월,송현석,http://www.shinsegaefood.com,서울특별시,A+,NULL
106,신원,9270,"봉제의복 제조업","여성,남성의류,스웨터,의복관련 악세사리,사카린,망초 제조,판매,수출입/섬유의류 도매/신용카드업/의류전문 물류대행 및 임대사업",1988-08-24,12월,박정주,http://www.sw.co.kr,서울특별시,BBB,NULL
107,쌍용씨앤이,3410,"시멘트, 석회, 플라스터 및 그 제품 제조업",시멘트(크링카),1975-05-03,12월,"홍사승, 이현준 (각자)대표집행임원",http://www.ssangyongcement.co.kr,서울특별시,A,NULL
108,알루코,1780,"1차 비철금속 제조업","알루미늄제품,샷시 제조",2007-06-07,12월,박진우,http://www.dygc.co.kr,대전광역시,JB,NULL
109,엔씨소프트,36570,"소프트웨어 개발 및 공급업","인터넷머그게임(리니지),그룹웨어,인터넷커뮤니티 개발,유지,공급",2003-05-22,12월,김택진,http://www.ncsoft.net,서울특별시,AA,NULL
110,윌비스,8600,"생활용품 도매업","스웨터,니트,셔츠 도매,제조/컴퓨터주변기기 무역,오파,임대",1989-07-28,12월,"임찬혁(대표집행임원), 송주호(대표집행임원)",http://www.willbes.com,충청남도,JB,NULL
111,유니켐,11330,"가죽, 가방 및 유사제품 제조업","피혁 제조,도매,무역,부동산임대",1989-12-14,12월,이장원,http://www.uni-chem.net,경기도,JB,NULL
112,율촌화학,8730,"플라스틱제품 제조업","연포장재,필름,골판지상자,합성수지,플라스틱일반성형제품 제조",1988-08-30,12월,"송녹정,신동윤",http://www.youlchon.com,서울특별시,A+,NULL
113,이마트,139480,"종합 소매업",대형마트,2011-06-10,12월,강희석,http://emartcompany.com/ko/main.do,서울특별시,AA,NULL
114,일진전기,103590,"절연선 및 케이블 제조업",NULL,2008-08-01,12월,"황수 (단독대표)",NULL,경기도,A-,NULL
115,종근당,185750,"의약품 제조업","딜라트렌,리피로우",2013-12-06,12월,김영주,http://www.ckdpharm.com,서울특별시,A+,NULL
116,종근당홀딩스,1630,"의약품 제조업","의약품(항생제,위궤양치료제,장기이식면역억제제,고지혈증치료제(로바이드)) 제조,도매",1976-06-30,12월,김태영,http://www.ckd-holdings.com,서울특별시,A+,NULL
117,케이비아이동국실업,1620,"자동차 신품 부품 제조업","자동차부품(에어닥트,글로벌박스,노즐,어셈블리류,핸들류) 제조,판매/공장 임대",1990-09-15,12월,김진산,http://kbidongkook.com,서울특별시,JB,NULL
118,케이씨씨,2380,"기타 화학제품 제조업","건축용단열재,내외장재,스레트,밤라이트,암면,석고보드,판유리 제조",1973-06-25,12월,"정몽진, 정재훈",http://www.kccworld.co.kr,서울특별시,AA-,NULL
119,케이씨씨글라스,344820,"유리 및 유리제품 제조업","판유리 등",2020-01-21,12월,김내환,http://www.kccglass.co.kr,서울특별시,AA-,NULL
120,케이티,30200,"전기 통신업","유무선통신사업,공중전기통신사업,인터넷,전자상거래,네트워크(전용회선,데이터통신,초고속사업 등)",1998-12-23,12월,구현모,http://www.kt.com,경기도,AAA,NULL
121,케이티스카이라이프,53210,"텔레비전 방송업",위성방송서비스,2011-06-03,12월,양춘식,http://www.ktskylife.co.kr,서울특별시,AA-,NULL
122,코스맥스,192820,"기타 화학제품 제조업",화장품,2014-04-07,12월,"심상배, 이병주",http://www.cosmax.com,경기도,BBB,NULL
123,코오롱,2020,"기타 금융업",지주회사,1975-06-23,12월,안병덕,http://www.kolon.com,경기도,BBB,NULL
124,코오롱인더,120110,"화학섬유 제조업","산업자재, 화학, 필름",2010-02-01,12월,"김영범, 유석진",http://www.kolonindustries.com/,서울특별시,A,NULL
125,코웨이,21240,"그외 기타 개인 서비스업","렌탈 서비스(정수기,비데, 필터교환 등), 가정용기기 도매,판매,제조,폐기물처리설비,수출(정수기,청정기)",2001-08-07,12월,서장원,http://company.coway.com,충청남도,AA-,NULL
126,콘텐트리중앙,36420,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화 및 방송프로그램 제작, 유통, 광고",2019-10-18,12월,"남주현, 홍정인(각자대표)",http://www.jcontentree.com/,서울특별시,BBB,NULL
127,태양금속공업,4100,"자동차 신품 부품 제조업","자동차용 강력볼트,너트,전기전자제품용 나사,자전거부품,전해동박,도금도장설비 제조",1976-05-25,12월,"한우삼. 한하워드성(각자 대표이사)",http://www.taeyangmetal.com,경기도,JB,NULL
128,태영건설,9410,"토목 건설업","종합건설업(토목공사,도로공사,건축공사,관급공사,환경공사,상하수도공사,하수종말처리공사)/부동산 임대,매매",1989-11-13,12월,이재규,http://www.taeyoung.com,경기도,A-,NULL
129,팬오션,28670,"해상 운송업","해상화물운송(외항,운수보관)",2007-09-21,12월,"김홍국, 안중호(각자 대표이사)",http://www.panocean.com,서울특별시,A,NULL
130,페이퍼코리아,1020,"펄프, 종이 및 판지 제조업","제지(신문용지,중질지),합판 제조,건설,석유류 판매",1976-06-26,12월,권육상,http://www.papercorea.co.kr,전라북도,JB,NULL
131,포스코인터내셔널,47050,"상품 중개업","무역(철강,화학,자동차부품),수출주선,대행,알선,가공원단,폴리우레탄,자동차시트 제조",2001-03-23,12월,"대표이사 부회장 정탁",http://www.poscointl.com,서울특별시,AA-,NULL
132,포스코퓨처엠,3670,"일차전지 및 축전지 제조업","내화물, 생석회, 음극재 및 양극재",2019-05-29,12월,김준형,http://www.poscofuturem.com,경상북도,AA-,NULL
133,풀무원,17810,"기타 식품 제조업","두부류,생면류,나물류,냉동류,조미류,김치류,묵류,녹즙,과채음료,건강보조식품 판매,제조,생식품 수출",1995-10-05,12월,이효율,http://www.pulmuone.co.kr,충청북도,BBB,NULL
134,풍산,103140,"1차 비철금속 제조업",NULL,2008-07-30,12월,"류진, 박우동",http://www.poongsan.co.kr,경기도,A+,NULL
135,하이트진로,80,"알코올음료 제조업",소주,2009-10-19,12월,김인규,http://www.hitejinro.com,서울특별시,A+,NULL
136,하이트진로홀딩스,140,"기타 금융업",지주회사,1973-09-19,12월,김인규,http://www.hitejinroholdings.com,서울특별시,A,NULL
137,한국가스공사,36460,"연료용 가스 제조 및 배관공급업","액화천연가스 공급,제조,도매,개발",1999-12-15,12월,최연혜,http://www.kogas.or.kr,대구광역시,AAA,NULL
138,한국전력공사,15760,전기업,"전력자원개발,발전,송전,전력용기자재확보",1989-08-10,12월,이정복,http://www.kepco.co.kr,전라남도,AAA,NULL
139,한국콜마,161890,"기타 화학제품 제조업","화장품, 의약품",2012-10-19,12월,최현규,http://https://www.kolmar.co.kr/,세종특별자치시,A,NULL
140,한국타이어앤테크놀로지,161390,"고무제품 제조업","타이어 제조",2012-10-04,12월,이수일,http://www.hankooktire.com,경기도,AA,NULL
141,한독,2390,"의약품 제조업","의약품(소화제,크라포란,라식스)제조,도매,부동산 임대",1976-06-30,12월,"김영진, 백진기",http://www.handok.co.kr,서울특별시,BBB,NULL
142,한미약품,128940,"의약품 제조업",의약품,2010-07-30,12월,박재현,NULL,경기도,A,NULL
143,한세실업,105630,"봉제의복 제조업","의류 완제품",2009-03-20,12월,"김익환, 김경",http://www.hansae.com,서울특별시,BBB,NULL
