STAT_CODE,STAT_NAME,ITEM_CODE1,ITEM_NAME1,ITEM_CODE2,ITEM_NAME2,ITEM_CODE3,ITEM_NAME3,ITEM_CODE4,ITEM_NAME4,UNIT_NAME,TIME,DATA_VALUE
404Y014,"4.1.1.1. 생산자물가지수(기본분류)",*AA,총지수,NULL,NULL,NULL,NULL,NULL,NULL,2015=100,2018,103.48
404Y014,"4.1.1.1. 생산자물가지수(기본분류)",*AA,총지수,NULL,NULL,NULL,NULL,NULL,NULL,2015=100,2019,103.5
404Y014,"4.1.1.1. 생산자물가지수(기본분류)",*AA,총지수,NULL,NULL,NULL,NULL,NULL,NULL,2015=100,2020,103.03
404Y014,"4.1.1.1. 생산자물가지수(기본분류)",*AA,총지수,NULL,NULL,NULL,NULL,NULL,NULL,2015=100,2021,109.6
404Y014,"4.1.1.1. 생산자물가지수(기본분류)",*AA,총지수,NULL,NULL,NULL,NULL,NULL,NULL,2015=100,2022,118.78
